,cw_coord_x,cw_coord_y,cw_coord_z,cw_id
0,2026.2194123683537,461.7919671213822,285.0845205159858,0.0
1,2020.989053258436,464.81179549317994,284.2862222036347,0.0
2,2018.9893377118706,461.42166623472394,284.15522091649467,0.0
3,2024.229613391255,458.3921040883761,284.22351449076086,0.0
4,1218.5676986268031,2736.037771975367,271.427093510516,1.0
5,1212.3177549717948,2742.7778246559246,271.5170610435307,1.0
6,1209.3877313835853,2740.057849367331,271.55701353400946,1.0
7,1215.6376748161665,2733.317796577405,271.48704600054765,1.0
8,2324.3115224668004,2195.672227137231,265.00676471646875,2.0
9,2322.651822479578,2193.252021166576,264.9968144306913,2.0
10,2325.912081178115,2191.0324375664386,264.8860811209306,2.0
11,2327.5717795363835,2193.4526444480325,264.8860314078629,2.0
12,1990.9380299056343,2786.2417327168114,264.1285130996257,3.0
13,1995.978307927428,2782.9721613138863,264.1279599089176,3.0
14,1998.1580289869496,2786.2523466793937,264.12771090026945,3.0
15,1993.1177467132075,2789.571918082438,264.1282639866695,3.0
16,2486.8205641803706,2060.8546340830835,265.90458046644926,4.0
17,2490.1098354380138,2065.915107832774,265.90452528279275,4.0
18,2486.7895414221357,2068.074619611467,265.9953907411545,4.0
19,2483.5302701637183,2063.0141501821818,265.9954402800649,4.0
20,2053.693903400645,2310.531832990204,265.4844647683203,5.0
21,2053.454031959821,2309.1418102816388,265.4943924658,5.0
22,2053.7241851184476,2307.3918393963686,265.4342329343781,5.0
23,2052.4442372128,2306.9017177477217,265.4943505655974,5.0
24,2044.6937936725194,2311.9909937335397,265.6856484245509,5.0
25,2046.1835824898028,2314.361126617732,265.735642304644,5.0
26,2047.13360757249,2314.061215126454,265.71550675854087,5.0
27,2047.8335874799623,2314.2412814492272,265.6854360345751,5.0
28,505.6233164503142,3981.459052046448,271.59516028966755,6.0
29,504.63325424757795,3980.7191336998258,271.5351796746254,6.0
30,503.8930669237682,3978.779210931323,271.575458381325,6.0
31,495.243998680333,3988.9100562511885,271.74246600922197,6.0
32,498.1340623567115,3989.469767409766,271.6527142915875,6.0
33,342.3652993899003,4196.878974092157,274.39856253284955,7.0
34,344.5349084022813,4193.4287283710655,274.3996528768912,7.0
35,338.7240502353633,4185.829382345728,274.3804872753098,7.0
36,336.7941273250093,4186.509600966823,274.38005000539124,7.0
37,335.3341171511121,4186.4197663671475,274.37985396850854,7.0
38,334.234090320302,4186.169888760487,274.3697468880564,7.0
39,338.51477302874434,4192.129392558396,274.31905165500945,7.0
40,493.5267024677478,3995.1951166339422,271.8910460965708,8.0
41,491.97658909461927,3994.005264320167,271.89108239021147,8.0
42,487.0472141035176,4000.6557472961467,271.9591878410429,8.0
43,488.4773342266893,4001.955616817966,271.98911542259157,8.0
44,2526.045242729277,2208.1041548912035,265.86186372116214,9.0
45,2521.0047541375884,2211.3734092154555,265.84313082695013,9.0
46,2518.8252541125457,2208.093079767641,265.91326174046844,9.0
47,2523.8657598068075,2204.7738210017596,265.9819901902229,9.0
48,677.976499670177,3789.6156796732103,271.66743214055896,10.0
49,676.286390663741,3788.035792224804,271.59752366319304,10.0
50,670.2768768781136,3794.5962225651347,271.5358974346891,10.0
51,671.9869813259602,3796.1661149597057,271.64580942783505,10.0
52,2074.437032816155,947.1956446280526,285.0566377574578,11.0
53,2070.477459043772,942.6852704889495,285.05582937877625,11.0
54,2073.4777106605334,940.0355513321667,285.0646964609623,11.0
55,2077.4372831972064,944.54592834862,285.0555048389361,11.0
56,2197.7176052428526,1786.1319944256613,265.7557431990281,12.0
57,2196.0678737525604,1783.6918122893985,265.7655996065587,12.0
58,2199.328128455424,1781.4821552041612,265.8547895196825,12.0
59,2200.9878481654837,1783.9123524350252,265.75493012741214,12.0
60,1953.0115977660166,2336.7685991035505,265.8876477526501,13.0
61,1950.2115794473762,2336.918378272978,265.8279516818002,13.0
62,1949.981425380803,2338.928355069049,265.89811136201024,13.0
63,1957.6503653907625,2352.388957500476,266.0982142081484,13.0
64,1960.6505649516778,2349.9691950820998,266.14773621223867,13.0
65,2005.2257575535407,2056.210264998721,266.6665331432596,14.0
66,2001.8761842089236,2051.2399781920576,266.64634783566004,14.0
67,2005.1763783366303,2048.9902630265024,266.6457208050415,14.0
68,2008.5359516820456,2053.960550696036,266.66590498480946,14.0
69,490.98477030963,4052.179102863909,272.5395220145583,15.0
70,493.3345943249103,4050.2988759000036,272.5201916852966,15.0
71,495.76487729207076,4053.358657319546,272.5798771623522,15.0
72,493.4250523276743,4055.228883335025,272.5992107437924,15.0
73,1821.6899247256297,1489.722936455244,267.4755083229393,16.0
74,1823.2297517922138,1492.143074602991,267.28586669731885,16.0
75,1830.270050362925,1487.4835391450288,267.2443292001263,16.0
76,1828.6002138767897,1485.1434026671632,267.38399799726903,16.0
77,1956.4231618721265,1481.9687725645745,267.41119378618896,17.0
78,1953.143570701438,1476.938500642049,267.45051450189203,17.0
79,1956.4237194941309,1474.7488175309627,267.1897238297388,17.0
80,1959.7633106639041,1479.7790942809986,267.15039680618787,17.0
81,1983.4611767651245,1923.4304978331675,266.9425974329933,18.0
82,1988.491458767987,1920.0909197224173,266.95159826241434,18.0
83,1990.6811777977118,1923.4311039267486,266.9518037894741,18.0
84,1985.6509008415119,1926.710682038327,266.9427949441597,18.0
85,1534.0588058318408,1908.7988718127672,270.3539656270296,19.0
86,1539.0489031841155,1905.4390378720454,270.2433116044849,19.0
87,1541.2788014981188,1908.759109429997,270.2136745909229,19.0
88,1536.28870475157,1912.098943370911,270.32432589586824,19.0
89,907.5996081705831,3688.284595658013,270.8905220227316,20.0
90,910.3896507016104,3689.1744639430035,270.8505581403151,20.0
91,909.1998229499507,3692.924510396555,270.79994686320424,20.0
92,906.4097827770099,3692.0346363402423,270.79991074465215,20.0
93,522.3164054232445,3515.4080926988245,274.85866324510425,21.0
94,524.0066166822708,3517.807946224937,274.9285842552781,21.0
95,520.7768307241125,3520.0682347338225,274.8679334418848,21.0
96,519.0866146830031,3517.668385891684,274.83801243081695,21.0
97,1368.0498144907383,2809.264025818393,270.16690306179225,22.0
98,1369.4897258787364,2818.39404038254,270.2368255853653,22.0
99,1365.5997204405098,2819.014002569369,270.28687140345573,22.0
100,1364.159808026775,2809.8839874878213,270.1369488807395,22.0
101,1546.815348492466,2692.87210357633,268.87167380191386,23.0
102,1542.4852204636632,2697.021969436497,268.88190076127654,23.0
103,1539.715319613161,2694.1318807107455,269.121976653114,23.0
104,1544.0454379375217,2689.982017849954,268.8717496935278,23.0
105,967.5956294133448,3737.811331464727,270.73646431788796,24.0
106,970.4556040658717,3737.1412233135416,270.7367074517533,24.0
107,971.3357489359132,3740.9711899854265,270.73616890422994,24.0
108,968.4757742833863,3741.64129813615,270.7359257703647,24.0
109,1443.3662811136987,3059.58935497337,270.2091237939894,25.0
110,1439.5061957215119,3064.18928331411,270.20900938939303,25.0
111,1436.4462443435766,3061.609227873807,270.239200277254,25.0
112,1440.3063290084579,3057.009298176039,270.2093146825209,25.0
113,313.3520912954647,4263.628472191689,274.7789150448516,26.0
114,315.732125868734,4263.938197155236,274.7892049420625,26.0
115,313.6116488268981,4259.72842331677,274.69986665342003,26.0
116,312.07123015788943,4256.058588883247,274.6404903978109,26.0
117,310.1613761028143,4257.388825459446,274.6998885469511,26.0
118,1737.7314376075233,2620.889887986541,267.48969378322363,27.0
119,1738.3914624773415,2620.369924112456,267.4496345622465,27.0
120,1739.111487140928,2619.8799629149944,267.4295719433576,27.0
121,1739.8315027649628,2619.5600017165343,267.4095136942342,27.0
122,1741.2415205133495,2619.2000772107385,267.3894064761698,27.0
123,1719.3726556719857,2597.8789137674394,267.4103779960424,27.0
