,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti4_centroid_x,ti4_centroid_y,ti5_centroid_x,ti5_centroid_y,ti6_centroid_x,ti6_centroid_y,ti7_centroid_x,ti7_centroid_y,ti8_centroid_x,ti8_centroid_y,ti9_centroid_x,ti9_centroid_y,ti10_centroid_x,ti10_centroid_y,ti11_centroid_x,ti11_centroid_y,ti13_centroid_x,ti13_centroid_y,ti76_centroid_x,ti76_centroid_y,ti78_centroid_x,ti78_centroid_y,ti151_centroid_x,ti151_centroid_y,ti181_centroid_x,ti181_centroid_y,ti187_centroid_x,ti187_centroid_y,ti188_centroid_x,ti188_centroid_y,ti184_centroid_x,ti184_centroid_y,ti227_centroid_x,ti227_centroid_y,ti233_centroid_x,ti233_centroid_y,ti263_centroid_x,ti263_centroid_y,ti269_centroid_x,ti269_centroid_y,ti274_centroid_x,ti274_centroid_y,ti287_centroid_x,ti287_centroid_y,ti342_centroid_x,ti342_centroid_y,ti327_centroid_x,ti327_centroid_y,ti348_centroid_x,ti348_centroid_y,ti353_centroid_x,ti353_centroid_y,ti356_centroid_x,ti356_centroid_y,ti388_centroid_x,ti388_centroid_y,ti416_centroid_x,ti416_centroid_y,ti466_centroid_x,ti466_centroid_y,ti483_centroid_x,ti483_centroid_y
0,665.7377319335938,-1357.5206298828125,674.0651245117188,-1367.017578125,650.0819091796875,-1370.8720703125,646.6242065429688,-1375.351806640625,727.4365234375,-1398.3616943359375,642.2774047851562,-1380.99658203125,665.4227294921875,-1323.583984375,660.790283203125,-1330.5128173828125,648.9446411132812,-1365.6346435546875,656.611572265625,-1330.33203125,640.6947021484375,-1378.1455078125,685.6594848632812,-1448.0535888671875,647.2110595703125,-1349.5361328125,779.2655639648438,-1402.2037353515625,806.9493408203125,-1407.60302734375,822.3995361328125,-1416.647705078125,805.6074829101562,-1382.2374267578125,778.6982421875,-1403.0164794921875,808.8872680664062,-1421.6568603515625,790.8237915039062,-1410.5770263671875,823.0682373046875,-1416.89013671875,840.7306518554688,-1418.027587890625,842.7732543945312,-1429.10888671875,815.520263671875,-1467.8282470703125,649.6741943359375,-1364.92724609375,836.159912109375,-1441.46142578125,860.9833984375,-1388.655029296875,837.4808959960938,-1425.114990234375,840.1634521484375,-1417.56494140625,846.2860107421875,-1396.814208984375,822.5899047851562,-1418.7864990234375,813.7800903320312,-1475.4208984375,837.4697265625,-1442.2515869140625
1,667.2286376953125,-1358.439453125,675.7265014648438,-1368.1392822265625,650.4191284179688,-1370.628173828125,646.73779296875,-1375.8271484375,727.6613159179688,-1398.3948974609375,642.3134765625,-1381.00439453125,665.3955078125,-1323.64453125,660.9765014648438,-1330.53662109375,648.8350219726562,-1365.634521484375,656.7718505859375,-1330.3045654296875,640.1956176757812,-1378.2626953125,685.7186889648438,-1447.9884033203125,647.843505859375,-1350.035888671875,779.2610473632812,-1402.2130126953125,806.9828491210938,-1407.50732421875,822.3992919921875,-1416.6497802734375,805.6078491210938,-1382.2391357421875,778.7050170898438,-1403.0108642578125,808.8817138671875,-1421.677001953125,790.7835693359375,-1410.6033935546875,822.1103515625,-1418.641357421875,840.7189331054688,-1417.893798828125,842.7797241210938,-1429.11083984375,815.4891967773438,-1467.864990234375,649.6671142578125,-1364.92431640625,836.1448974609375,-1441.4708251953125,860.969970703125,-1388.665283203125,836.925048828125,-1425.3157958984375,840.1587524414062,-1417.576416015625,846.013671875,-1397.1287841796875,822.5894165039062,-1418.7841796875,813.4052734375,-1475.3721923828125,837.4684448242188,-1442.2513427734375
2,669.3145141601562,-1359.7491455078125,676.6697998046875,-1368.7818603515625,650.5874633789062,-1370.66552734375,646.6441650390625,-1375.9095458984375,729.6796875,-1399.9578857421875,642.2903442382812,-1381.0440673828125,665.2651977539062,-1323.55126953125,661.0569458007812,-1330.3216552734375,648.7867431640625,-1365.5238037109375,656.7628784179688,-1330.3919677734375,640.2115478515625,-1377.9573974609375,685.461181640625,-1448.1494140625,648.5255126953125,-1350.5269775390625,779.1969604492188,-1403.199951171875,807.021484375,-1407.51806640625,822.4057006835938,-1416.645263671875,805.4818115234375,-1382.5701904296875,778.8271484375,-1402.92724609375,808.4412231445312,-1422.0782470703125,790.7789916992188,-1410.6158447265625,822.1183471679688,-1418.6346435546875,840.7371826171875,-1417.8194580078125,842.7816772460938,-1429.099853515625,815.4347534179688,-1467.995361328125,649.6544799804688,-1364.927978515625,836.1409301757812,-1441.482421875,860.9644165039062,-1388.676025390625,836.9260864257812,-1425.30126953125,840.1345825195312,-1417.4854736328125,845.6363525390625,-1397.4515380859375,822.6643676757812,-1418.2353515625,813.0762329101562,-1475.2657470703125,837.163330078125,-1442.4117431640625
3,670.6531982421875,-1360.56640625,677.6738891601562,-1369.4249267578125,650.5502319335938,-1370.5101318359375,646.6699829101562,-1375.852783203125,731.2307739257812,-1400.875,642.3505249023438,-1381.0810546875,665.3478393554688,-1323.5849609375,660.9725952148438,-1330.4949951171875,648.7257080078125,-1365.4315185546875,656.7518310546875,-1330.2744140625,640.2124633789062,-1377.90185546875,685.5194091796875,-1448.0550537109375,649.181396484375,-1351.04931640625,779.1934814453125,-1403.1947021484375,807.0214233398438,-1407.519775390625,822.4095458984375,-1416.64990234375,805.4514770507812,-1382.5577392578125,778.8261108398438,-1402.923095703125,808.3262329101562,-1422.0963134765625,790.7825317382812,-1410.61279296875,822.1250610351562,-1418.63623046875,840.7289428710938,-1417.787841796875,842.6162719726562,-1429.0140380859375,815.3303833007812,-1468.1568603515625,650.1876220703125,-1364.2515869140625,836.4545288085938,-1440.828125,860.8553466796875,-1388.625,836.9069213867188,-1425.3326416015625,840.1435546875,-1417.481689453125,845.4595947265625,-1397.833984375,822.7969360351562,-1417.9979248046875,813.05712890625,-1475.253173828125,837.1350708007812,-1442.4144287109375
4,671.6011352539062,-1361.137939453125,678.6790161132812,-1370.0010986328125,650.4732666015625,-1370.42626953125,646.6287231445312,-1375.88134765625,732.7362060546875,-1401.7373046875,642.3720092773438,-1381.0860595703125,665.2886962890625,-1323.512939453125,660.9937133789062,-1330.5408935546875,648.7218017578125,-1365.4305419921875,656.9081420898438,-1330.302734375,640.087890625,-1377.8887939453125,685.5975952148438,-1448.05615234375,649.8400268554688,-1351.5616455078125,779.1951904296875,-1403.189208984375,807.028076171875,-1407.514892578125,822.4080810546875,-1416.6468505859375,805.3778076171875,-1382.70263671875,778.9292602539062,-1402.9285888671875,808.3556518554688,-1422.03662109375,790.7857666015625,-1410.6195068359375,822.1272583007812,-1418.62451171875,840.4735717773438,-1417.616455078125,842.6073608398438,-1429.163330078125,815.2779541015625,-1468.24072265625,650.4675903320312,-1363.8848876953125,836.4689331054688,-1440.793701171875,860.8267211914062,-1388.415771484375,837.0479736328125,-1425.1688232421875,840.1488647460938,-1417.3931884765625,845.2120971679688,-1398.242919921875,822.900146484375,-1417.7388916015625,812.9343872070312,-1475.222412109375,837.00537109375,-1442.6275634765625
5,672.5274047851562,-1361.74658203125,679.701416015625,-1370.674072265625,650.44921875,-1370.4052734375,646.6590576171875,-1375.7772216796875,734.1976318359375,-1402.629638671875,642.3707885742188,-1381.0762939453125,665.4625854492188,-1323.435791015625,660.9801025390625,-1330.5601806640625,648.6198120117188,-1365.46923828125,656.9968872070312,-1330.302490234375,640.0803833007812,-1377.845947265625,685.5972900390625,-1448.0638427734375,650.8306274414062,-1351.90673828125,779.19775390625,-1403.1827392578125,806.8070068359375,-1407.877685546875,822.7055053710938,-1416.6927490234375,805.4918823242188,-1382.6837158203125,778.9255981445312,-1402.9437255859375,808.2498779296875,-1422.264404296875,791.1244506835938,-1410.10205078125,822.1190185546875,-1418.6358642578125,840.2890625,-1417.24755859375,842.5918579101562,-1429.1866455078125,815.2271728515625,-1468.3740234375,650.6388549804688,-1363.6539306640625,836.5046997070312,-1440.724365234375,860.8893432617188,-1388.540771484375,837.0867919921875,-1425.209228515625,840.0306396484375,-1417.3001708984375,845.0574951171875,-1398.59228515625,822.8329467773438,-1417.5269775390625,812.6033935546875,-1475.165771484375,836.963623046875,-1442.634765625
6,673.6429443359375,-1362.4114990234375,680.735107421875,-1371.3343505859375,650.4992065429688,-1370.393310546875,646.6986694335938,-1375.76318359375,735.647705078125,-1403.6241455078125,642.4097290039062,-1381.0576171875,665.5447998046875,-1323.4488525390625,660.9723510742188,-1330.5079345703125,648.6087646484375,-1365.4765625,657.040771484375,-1330.35205078125,640.352783203125,-1377.91064453125,685.5535278320312,-1448.1019287109375,651.6419067382812,-1352.355224609375,779.19677734375,-1403.1741943359375,806.8057861328125,-1407.874267578125,822.744384765625,-1416.7955322265625,805.4878540039062,-1382.6251220703125,778.9683227539062,-1402.795166015625,808.404052734375,-1421.9619140625,791.1221923828125,-1410.1126708984375,822.0548095703125,-1418.2261962890625,840.2924194335938,-1417.23828125,842.7198486328125,-1428.955810546875,815.2075805664062,-1468.4580078125,650.8471069335938,-1363.331298828125,836.5553588867188,-1440.7313232421875,860.9012451171875,-1388.5220947265625,837.0142211914062,-1425.158447265625,840.0165405273438,-1417.3922119140625,844.9873657226562,-1398.7750244140625,822.8025512695312,-1417.53955078125,812.4641723632812,-1475.150146484375,837.0501098632812,-1442.6419677734375
7,674.6439208984375,-1363.0335693359375,681.7182006835938,-1371.97900390625,650.487548828125,-1370.4058837890625,646.7063598632812,-1375.737060546875,737.1355590820312,-1404.533935546875,642.4459228515625,-1381.0186767578125,665.5233154296875,-1323.4442138671875,661.0371704101562,-1330.5291748046875,648.7017822265625,-1365.5247802734375,657.0551147460938,-1330.3804931640625,640.201416015625,-1378.119384765625,685.5465087890625,-1448.11962890625,652.4888916015625,-1352.7984619140625,779.20166015625,-1403.1639404296875,806.8167724609375,-1407.49853515625,822.5179443359375,-1417.1329345703125,805.6397094726562,-1382.55322265625,778.9650268554688,-1402.7998046875,808.4486083984375,-1421.958740234375,791.1302490234375,-1410.105712890625,822.1053466796875,-1418.3165283203125,839.9851684570312,-1416.8109130859375,842.8104248046875,-1428.937255859375,815.1468505859375,-1468.5809326171875,650.9833984375,-1363.0596923828125,836.6011352539062,-1440.6436767578125,861.0187377929688,-1388.49072265625,837.0164794921875,-1425.176513671875,839.9922485351562,-1417.3741455078125,844.7390747070312,-1399.184814453125,822.8692626953125,-1417.421142578125,812.2647094726562,-1475.1221923828125,837.072265625,-1442.6484375
8,675.6536865234375,-1363.6593017578125,682.6516723632812,-1372.530517578125,650.4723510742188,-1370.4146728515625,646.6405029296875,-1375.7008056640625,738.5779418945312,-1405.486328125,642.4619750976562,-1380.9654541015625,665.7261962890625,-1323.3699951171875,661.1549682617188,-1330.564208984375,648.6963500976562,-1365.5206298828125,657.0828857421875,-1330.4029541015625,640.1461181640625,-1378.0010986328125,685.5374755859375,-1448.1119384765625,653.2794189453125,-1353.3160400390625,779.20166015625,-1403.1651611328125,806.8130493164062,-1407.5140380859375,822.5350341796875,-1417.1431884765625,805.561279296875,-1382.620361328125,778.8101806640625,-1402.911865234375,808.4900512695312,-1422.06005859375,791.1370849609375,-1410.106689453125,822.1742553710938,-1418.367431640625,839.9657592773438,-1416.80859375,842.8667602539062,-1428.858642578125,815.101806640625,-1468.668701171875,651.26806640625,-1362.6314697265625,836.6439208984375,-1440.509033203125,861.236083984375,-1388.2171630859375,837.0359497070312,-1425.207275390625,840.0106201171875,-1417.2042236328125,844.4585571289062,-1399.6351318359375,822.9190063476562,-1417.374267578125,812.0210571289062,-1475.0894775390625,836.9440307617188,-1442.6461181640625
9,676.699462890625,-1364.2889404296875,683.6432495117188,-1373.1109619140625,650.44482421875,-1370.4305419921875,646.7643432617188,-1375.7718505859375,740.0505981445312,-1406.3934326171875,642.548095703125,-1380.8162841796875,665.8345336914062,-1323.3255615234375,661.21533203125,-1330.5670166015625,648.831298828125,-1365.493896484375,657.060791015625,-1330.4534912109375,640.4317626953125,-1377.911865234375,685.6808471679688,-1448.130615234375,654.051025390625,-1353.8701171875,779.20849609375,-1403.1595458984375,806.8685302734375,-1407.3897705078125,822.55029296875,-1417.1676025390625,805.4737548828125,-1382.787109375,778.8184204101562,-1402.9156494140625,808.6563720703125,-1422.4324951171875,791.1737670898438,-1410.23876953125,822.2119750976562,-1418.165283203125,839.9532470703125,-1416.76904296875,842.7864379882812,-1428.9853515625,815.0166015625,-1468.8668212890625,651.3868408203125,-1362.445068359375,836.5941162109375,-1440.5860595703125,861.1755981445312,-1388.301025390625,836.9981689453125,-1425.237060546875,839.9462280273438,-1417.318115234375,844.3213500976562,-1399.93359375,822.9669189453125,-1417.3875732421875,811.8626708984375,-1475.057373046875,836.9405517578125,-1442.6531982421875
