,ti1_centroid_x,ti1_centroid_y,ti3_centroid_x,ti3_centroid_y,ti110_centroid_x,ti110_centroid_y,ti201_centroid_x,ti201_centroid_y,ti228_centroid_x,ti228_centroid_y,ti633_centroid_x,ti633_centroid_y,ti796_centroid_x,ti796_centroid_y,ti937_centroid_x,ti937_centroid_y,ti973_centroid_x,ti973_centroid_y,ti1012_centroid_x,ti1012_centroid_y,ti1013_centroid_x,ti1013_centroid_y,ti1046_centroid_x,ti1046_centroid_y,ti1061_centroid_x,ti1061_centroid_y,ti1093_centroid_x,ti1093_centroid_y,ti1185_centroid_x,ti1185_centroid_y,ti1212_centroid_x,ti1212_centroid_y,ti1487_centroid_x,ti1487_centroid_y,ti1678_centroid_x,ti1678_centroid_y,ti1770_centroid_x,ti1770_centroid_y,ti1887_centroid_x,ti1887_centroid_y
0,724.9857788085938,-2116.521240234375,750.6287841796875,-2148.073974609375,776.0827026367188,-2026.9517822265625,778.0078735351562,-2025.0938720703125,798.2338256835938,-1992.8280029296875,843.7881469726562,-1923.989013671875,863.24951171875,-1893.1995849609373,846.6819458007812,-1972.517333984375,861.8849487304688,-1897.0341796875,880.00439453125,-1952.1134033203125,867.5867919921875,-1965.923095703125,844.1387329101562,-1978.96533203125,874.4356689453125,-1969.9547119140625,864.2435302734375,-1985.31787109375,862.8829956054688,-1895.6055908203125,855.1962890625,-1992.8194580078125,907.5136108398438,-1827.647216796875,909.4910278320312,-1823.747802734375,912.0616455078124,-1820.5316162109373,964.3246459960938,-1745.6383056640625
1,726.7208251953125,-2114.28955078125,750.3018798828125,-2147.775634765625,774.8120727539062,-2029.0850830078125,776.7564086914062,-2026.70458984375,796.6870727539062,-1994.95166015625,841.3699340820312,-1926.9017333984373,862.24365234375,-1894.9188232421875,846.6766357421875,-1972.5228271484373,861.8802490234375,-1897.0272216796875,880.0231323242188,-1952.11474609375,867.947021484375,-1965.953369140625,843.3004760742188,-1978.782958984375,874.1101684570312,-1970.4349365234373,864.242431640625,-1985.314697265625,862.3595581054688,-1896.92724609375,855.3410034179688,-1992.944091796875,905.2207641601562,-1830.3365478515625,909.487060546875,-1823.7471923828125,910.7845458984376,-1821.6558837890625,963.679443359375,-1746.798095703125
2,727.4429321289062,-2113.157958984375,750.502197265625,-2147.93505859375,774.107177734375,-2030.1356201171875,775.850830078125,-2028.0506591796875,795.9136352539062,-1996.4661865234373,840.4955444335938,-1928.6492919921875,860.9608764648438,-1895.7164306640625,846.6695556640625,-1972.518310546875,859.9779052734375,-1899.8284912109373,880.0355224609375,-1952.1187744140625,868.222900390625,-1965.79833984375,843.2078247070312,-1979.089111328125,874.1206665039062,-1970.5032958984373,864.247314453125,-1985.3175048828125,861.1876831054688,-1897.7139892578125,855.0645141601562,-1992.9593505859373,905.2498168945312,-1830.32958984375,909.4899291992188,-1823.7506103515625,910.30712890625,-1823.0943603515625,963.6839599609376,-1746.79638671875
3,728.1214599609375,-2112.05517578125,750.6749877929688,-2148.078369140625,773.5211791992188,-2031.2117919921875,775.0014038085938,-2029.393310546875,795.0706787109375,-1997.760986328125,839.9459838867188,-1929.837890625,860.4114379882812,-1896.702880859375,846.6757202148438,-1972.2794189453125,859.2008666992188,-1900.8936767578125,880.0513916015625,-1952.29345703125,867.8211669921875,-1966.0611572265625,842.2464599609375,-1978.8123779296875,874.1725463867188,-1970.4541015625,864.3096313476562,-1985.419677734375,860.4940795898438,-1898.48388671875,854.985595703125,-1992.87255859375,905.2584838867188,-1830.3133544921875,907.013427734375,-1827.712890625,909.7537231445312,-1824.058837890625,963.0759887695312,-1746.9473876953125
4,728.8084716796875,-2110.939453125,750.7315063476562,-2148.1064453125,772.61328125,-2032.384033203125,774.1110229492188,-2030.71630859375,794.0386352539062,-1999.18359375,838.7528076171875,-1931.243408203125,859.96484375,-1898.1448974609373,846.665283203125,-1972.3946533203125,858.4481811523438,-1901.9639892578125,880.0985107421875,-1952.3236083984373,867.6972045898438,-1965.9725341796875,841.684326171875,-1978.6260986328125,874.2297973632812,-1970.3763427734373,864.536376953125,-1985.3328857421875,859.9735107421875,-1899.1590576171875,854.8340454101562,-1993.0791015625,902.6515502929688,-1834.637451171875,906.3931884765624,-1828.8033447265625,908.6604614257812,-1825.417236328125,963.443115234375,-1747.4384765625
5,729.4526977539062,-2109.884521484375,750.9554443359375,-2148.285888671875,771.7899780273438,-2033.66845703125,773.3460083007812,-2031.8302001953125,793.0462036132812,-2000.6990966796875,837.9017944335938,-1932.4451904296875,859.2841186523438,-1899.3681640625,846.7415771484375,-1972.5277099609373,857.8211059570312,-1903.179443359375,880.1248779296875,-1952.3812255859373,867.6935424804688,-1966.0771484375,841.2467651367188,-1978.436279296875,874.2818603515625,-1970.4857177734373,864.6326293945312,-1985.317138671875,859.393798828125,-1900.42431640625,854.8817138671875,-1993.0040283203125,901.7490234375,-1835.7646484375,905.791748046875,-1829.9324951171875,907.9237670898438,-1826.616455078125,963.5692749023438,-1746.931396484375
6,730.1177978515625,-2108.798583984375,750.9479370117188,-2148.255126953125,771.0575561523438,-2034.8389892578125,772.5082397460938,-2033.2310791015625,792.0943603515625,-2002.1812744140625,837.0703125,-1933.5985107421875,858.6666870117188,-1900.3193359375,846.7962036132812,-1972.633056640625,857.1253662109375,-1904.454345703125,880.166748046875,-1952.39013671875,867.7269897460938,-1965.990478515625,840.730224609375,-1978.279541015625,874.3553466796875,-1970.42919921875,864.614990234375,-1985.246337890625,858.9566040039062,-1901.103759765625,854.8369140625,-1992.894775390625,901.1796264648438,-1836.6636962890625,904.8495483398438,-1831.035888671875,907.2342529296876,-1827.7969970703125,963.7410278320312,-1746.4664306640625
7,730.8479614257812,-2107.690673828125,750.8463134765625,-2148.155029296875,770.220703125,-2036.085205078125,771.7176513671875,-2034.4715576171875,791.2854614257812,-2003.458740234375,836.3674926757812,-1934.6710205078125,857.995361328125,-1901.3406982421875,846.9269409179688,-1972.6441650390625,856.4209594726562,-1905.4112548828125,880.11376953125,-1952.5599365234373,867.650634765625,-1966.0430908203125,840.1795043945312,-1978.123779296875,874.4542236328125,-1970.439697265625,864.6807861328125,-1985.22021484375,858.285888671875,-1902.0750732421875,854.8038940429688,-1992.9410400390625,900.4306030273438,-1837.9014892578125,904.1181640625,-1832.065185546875,906.4701538085938,-1828.9410400390625,963.685302734375,-1746.2706298828125
8,731.5475463867188,-2106.605224609375,750.6591796875,-2148.00146484375,769.4598388671875,-2037.278564453125,770.9293212890625,-2035.71044921875,790.6475830078125,-2004.4736328125,835.55712890625,-1935.8614501953125,857.326171875,-1902.3897705078125,846.991455078125,-1972.5877685546875,855.6754760742188,-1906.451904296875,880.119384765625,-1952.56982421875,867.65087890625,-1965.9075927734373,839.7332763671875,-1977.893798828125,874.4575805664062,-1970.43359375,864.6901245117188,-1985.1888427734373,857.808349609375,-1902.87353515625,854.784423828125,-1992.7816162109373,899.5609741210938,-1839.0892333984373,903.4671630859376,-1833.1898193359373,905.6824951171876,-1830.079345703125,963.6849365234376,-1746.1463623046875
9,732.2338256835938,-2105.517578125,750.431884765625,-2147.806640625,768.61474609375,-2038.530029296875,770.1138916015625,-2036.9189453125,789.80078125,-2005.9454345703125,834.7162475585938,-1937.0828857421875,856.6126098632812,-1903.46826171875,847.0501098632812,-1972.554443359375,854.9397583007812,-1907.4976806640625,880.1079711914062,-1952.597900390625,867.4976196289062,-1965.9237060546875,839.2850952148438,-1977.6888427734373,874.5606079101562,-1970.2574462890625,864.6718139648438,-1985.1571044921875,857.1766967773438,-1903.9385986328125,855.025390625,-1992.68212890625,898.80224609375,-1839.9490966796875,902.8094482421876,-1834.2718505859373,904.9177856445312,-1831.1656494140625,963.6917114257812,-1746.0389404296875
