,ti1_centroid_x,ti1_centroid_y,ti154_centroid_x,ti154_centroid_y,ti179_centroid_x,ti179_centroid_y,ti483_centroid_x,ti483_centroid_y,ti497_centroid_x,ti497_centroid_y,ti569_centroid_x,ti569_centroid_y,ti630_centroid_x,ti630_centroid_y,ti653_centroid_x,ti653_centroid_y,ti801_centroid_x,ti801_centroid_y,ti1008_centroid_x,ti1008_centroid_y,ti1329_centroid_x,ti1329_centroid_y,ti1373_centroid_x,ti1373_centroid_y,ti1518_centroid_x,ti1518_centroid_y,ti1693_centroid_x,ti1693_centroid_y
0,788.6776123046875,-2007.9625244140625,765.4847412109375,-2054.5126953125,750.3269653320312,-2027.22802734375,867.8013305664062,-1966.2210693359373,852.8024291992188,-1965.2681884765625,864.433837890625,-1984.4930419921875,893.7398681640625,-1847.3797607421875,848.2977294921875,-1989.42138671875,852.6053466796875,-1965.8529052734373,780.224609375,-2032.4075927734373,941.1007080078124,-1775.86865234375,947.6270751953124,-1767.1866455078125,960.5054321289062,-1745.5782470703125,849.20947265625,-1927.2906494140625
1,787.6366577148438,-2009.492431640625,766.8895263671875,-2052.522705078125,750.315673828125,-2027.2108154296875,867.8019409179688,-1966.0184326171875,852.8053588867188,-1965.2618408203125,864.4371948242188,-1984.49072265625,891.9641723632812,-1849.6356201171875,848.2140502929688,-1989.625732421875,852.6074829101562,-1965.8504638671875,780.2042846679688,-2032.39599609375,939.8072509765624,-1777.333740234375,947.6220703125,-1767.1785888671875,958.728271484375,-1748.3330078125,850.5321655273438,-1925.5009765625
2,786.1829833984375,-2011.52587890625,767.5216674804688,-2051.42529296875,751.5037231445312,-2027.2867431640625,867.7678833007812,-1965.9117431640625,852.8052978515625,-1965.2601318359373,864.446044921875,-1984.494873046875,890.6796264648438,-1851.185302734375,848.1803588867188,-1989.774658203125,852.5967407226562,-1965.8477783203125,781.7596435546875,-2029.9267578125,939.5553588867188,-1778.9351806640625,945.8538208007812,-1770.4735107421875,958.7196044921876,-1748.3240966796875,851.62109375,-1923.8935546875
3,785.4036254882812,-2012.9219970703125,768.2416381835938,-2050.3203125,751.4976196289062,-2027.276611328125,867.7406005859375,-1965.813720703125,852.8010864257812,-1965.2628173828125,864.4510498046875,-1984.496337890625,889.7470092773438,-1852.8597412109373,848.0930786132812,-1989.8885498046875,852.6097412109375,-1965.8544921875,782.540771484375,-2028.599365234375,938.7758178710938,-1780.3038330078125,944.9031372070312,-1771.6414794921875,955.9808959960938,-1751.478515625,852.5465087890625,-1922.41796875
4,784.500244140625,-2014.2552490234373,769.1965942382812,-2048.945556640625,751.4985961914062,-2027.2611083984373,867.8190307617188,-1965.994873046875,852.80078125,-1965.26416015625,864.4517211914062,-1984.4949951171875,888.955078125,-1854.5556640625,848.0689086914062,-1989.9510498046875,852.604248046875,-1965.8525390625,783.3096923828125,-2027.3380126953125,937.676513671875,-1781.5853271484375,943.9117431640624,-1772.7327880859375,954.860107421875,-1752.623779296875,852.791259765625,-1921.938720703125
5,783.6890869140625,-2015.5914306640625,769.9144287109375,-2047.7994384765625,751.51806640625,-2027.26220703125,867.7798461914062,-1966.1153564453125,853.20703125,-1965.96923828125,864.4547119140625,-1984.4896240234373,887.8295288085938,-1856.0550537109373,848.0569458007812,-1989.981201171875,852.6087646484375,-1965.8529052734373,783.66064453125,-2026.888427734375,936.870849609375,-1782.775390625,943.0911865234376,-1773.9954833984375,954.3909912109376,-1753.9677734375,853.2529296875,-1921.18798828125
6,782.8314819335938,-2016.9119873046875,770.5454711914062,-2046.82275390625,751.513427734375,-2027.265625,867.78125,-1966.1527099609373,853.3810424804688,-1965.6324462890625,864.4557495117188,-1984.4910888671875,886.8924560546875,-1857.615966796875,848.0776977539062,-1989.9967041015625,852.6145629882812,-1965.8553466796875,784.1456909179688,-2026.0458984375,935.92138671875,-1783.871337890625,942.130126953125,-1775.18408203125,953.4340209960938,-1755.1549072265625,853.989501953125,-1920.0523681640625
7,782.0020141601562,-2018.210205078125,771.2781372070312,-2045.6812744140625,751.5932006835938,-2027.1875,867.6897583007812,-1966.0072021484373,853.3379516601562,-1965.57275390625,864.4362182617188,-1984.482421875,885.7741088867188,-1859.16796875,848.288818359375,-1989.6365966796875,852.5741577148438,-1965.9095458984373,784.6251220703125,-2025.2596435546875,934.9906616210938,-1785.2386474609375,941.3343505859376,-1776.359375,953.0225219726562,-1756.6322021484375,854.5499267578125,-1919.2823486328125
8,781.1981201171875,-2019.4940185546875,771.975830078125,-2044.7039794921875,751.6895141601562,-2027.3050537109373,867.6602172851562,-1965.90673828125,853.2863159179688,-1965.4713134765625,864.435546875,-1984.4949951171875,884.7711791992188,-1860.7908935546875,848.2943115234375,-1989.6407470703125,852.580810546875,-1965.9091796875,785.9822387695312,-2023.4200439453125,934.2124633789062,-1786.344970703125,940.5136108398438,-1777.5311279296875,952.179931640625,-1757.911865234375,855.2881469726562,-1918.1759033203125
9,780.416259765625,-2020.7108154296875,772.705078125,-2043.68408203125,751.4761352539062,-2027.5296630859373,867.6836547851562,-1965.919189453125,853.1136474609375,-1965.9720458984373,864.4051513671875,-1985.0445556640625,883.7099609375,-1862.3790283203125,848.50146484375,-1989.300537109375,852.5906982421875,-1965.9114990234373,786.4338989257812,-2022.7371826171875,933.3936767578124,-1787.480224609375,939.66064453125,-1778.973876953125,951.5623168945312,-1759.310302734375,855.93115234375,-1917.142333984375
