,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti4_centroid_x,ti4_centroid_y,ti5_centroid_x,ti5_centroid_y,ti7_centroid_x,ti7_centroid_y,ti8_centroid_x,ti8_centroid_y,ti10_centroid_x,ti10_centroid_y,ti13_centroid_x,ti13_centroid_y,ti14_centroid_x,ti14_centroid_y,ti155_centroid_x,ti155_centroid_y,ti249_centroid_x,ti249_centroid_y,ti278_centroid_x,ti278_centroid_y,ti313_centroid_x,ti313_centroid_y,ti364_centroid_x,ti364_centroid_y,ti412_centroid_x,ti412_centroid_y,ti428_centroid_x,ti428_centroid_y,ti440_centroid_x,ti440_centroid_y,ti567_centroid_x,ti567_centroid_y,ti643_centroid_x,ti643_centroid_y,ti716_centroid_x,ti716_centroid_y,ti757_centroid_x,ti757_centroid_y,ti781_centroid_x,ti781_centroid_y,ti777_centroid_x,ti777_centroid_y,ti799_centroid_x,ti799_centroid_y,ti800_centroid_x,ti800_centroid_y,ti879_centroid_x,ti879_centroid_y,ti886_centroid_x,ti886_centroid_y,ti1034_centroid_x,ti1034_centroid_y,ti1082_centroid_x,ti1082_centroid_y,ti1248_centroid_x,ti1248_centroid_y,ti1363_centroid_x,ti1363_centroid_y,ti1382_centroid_x,ti1382_centroid_y,ti1389_centroid_x,ti1389_centroid_y,ti1419_centroid_x,ti1419_centroid_y,ti1421_centroid_x,ti1421_centroid_y,ti1426_centroid_x,ti1426_centroid_y,ti1461_centroid_x,ti1461_centroid_y,ti1349_centroid_x,ti1349_centroid_y,ti1495_centroid_x,ti1495_centroid_y,ti1456_centroid_x,ti1456_centroid_y
0,530.5004272460939,-796.935791015625,541.5694580078125,-787.482666015625,511.6707763671875,-805.686767578125,495.5309448242188,-794.9230346679688,471.5407409667969,-890.6569213867188,490.7618408203125,-781.1944580078125,473.5960693359375,-770.1898803710938,554.1058959960939,-761.5910034179688,560.0158081054689,-766.5723266601562,500.9095764160156,-827.0743408203125,548.0504760742189,-783.99267578125,447.501708984375,-922.5723266601562,480.2257080078125,-896.5263671875,500.6848449707031,-827.0262451171875,428.4881896972656,-963.8159790039062,496.0964050292969,-838.5848388671875,497.0353393554688,-836.6810302734375,483.1272277832031,-851.940673828125,446.1200866699219,-874.9161987304688,434.11279296875,-867.5909423828125,429.20062255859375,-864.4002075195312,426.8631591796875,-856.7510375976562,442.3347473144531,-862.5867309570312,387.5311584472656,-837.0512084960938,502.86712646484375,-924.9053955078124,435.5332336425781,-858.2632446289062,510.6263122558594,-916.3410034179688,486.3849182128906,-936.9774780273438,486.9479370117188,-934.712158203125,351.7832946777344,-1066.2928466796877,352.3717041015625,-1066.12060546875,341.8252868652344,-919.8645629882812,363.44952392578125,-934.1272583007812,378.2456665039063,-933.8112182617188,369.0924682617188,-928.1709594726562,347.1347351074219,-913.6182250976562,324.85137939453125,-1119.6956787109377,399.5495300292969,-986.2142944335938,329.88555908203125,-1113.008544921875,397.0904541015625,-988.156005859375
1,530.5023193359375,-796.9790649414062,540.46484375,-788.913330078125,512.1287841796875,-806.0232543945312,496.3580627441406,-795.498291015625,471.2401428222656,-889.8209228515625,490.8755493164063,-781.1746215820312,473.5976257324219,-770.1744384765625,554.0307006835939,-761.8643188476562,561.2334594726561,-764.8050537109375,500.9322204589844,-827.093994140625,548.466796875,-783.4984130859375,447.5198669433594,-922.5790405273438,480.3804016113281,-896.4889526367188,500.6867065429688,-827.0198974609375,429.2177734375,-962.5491943359376,496.0932922363281,-838.569091796875,497.0405578613281,-836.685791015625,483.1329956054688,-851.9459228515625,446.5694885253906,-875.5947265625,434.0858154296875,-867.6536254882812,429.2320251464844,-864.444580078125,426.8882446289063,-856.7688598632812,442.4524841308594,-862.6844482421875,387.5504760742188,-837.1110229492188,502.86370849609375,-924.892578125,435.5197448730469,-858.24853515625,510.6419677734375,-916.3485107421876,484.9361572265625,-936.2718505859376,486.9396362304688,-934.7081909179688,351.76025390625,-1066.29150390625,352.70147705078125,-1066.3267822265623,341.83221435546875,-919.8587646484376,363.40716552734375,-934.139892578125,378.245361328125,-933.8259887695312,369.0806274414063,-928.230224609375,347.1209716796875,-913.5941162109376,325.555419921875,-1118.7679443359377,399.5418395996094,-986.2154541015624,330.1612243652344,-1111.675537109375,396.6990051269531,-987.9031982421876
2,530.4920043945311,-796.9768676757812,539.92626953125,-789.7976684570312,512.0267333984375,-806.0611572265625,496.505859375,-795.7081909179688,471.0173645019531,-889.23291015625,490.8277587890625,-781.1771850585938,473.6233215332031,-770.1240234375,554.0383911132811,-761.7953491210938,561.839599609375,-763.89794921875,500.915771484375,-827.0842895507812,549.8084106445311,-781.3931274414062,447.34967041015625,-922.8062744140624,480.4752502441406,-896.454833984375,500.7049255371094,-827.0204467773438,429.6680603027344,-961.6160278320312,496.0934143066406,-838.5728149414062,497.0191040039063,-836.671142578125,483.12677001953125,-851.9414672851562,446.2681884765625,-875.4573364257812,434.2513427734375,-867.7927856445312,429.2071838378906,-864.5120239257812,424.6377868652344,-855.160400390625,442.5126953125,-862.7579956054688,387.5071105957031,-837.0955200195312,502.97308349609375,-924.6511840820312,435.5035095214844,-858.3217163085938,510.88134765625,-915.4542236328124,484.9393005371094,-936.2652587890624,486.9386291503906,-934.6989135742188,351.7198181152344,-1066.2889404296877,353.02130126953125,-1066.509033203125,341.8454284667969,-919.8217163085938,363.4141845703125,-934.1649169921876,378.2129821777344,-933.8042602539062,368.8774108886719,-928.0602416992188,347.1440124511719,-913.5065307617188,325.93023681640625,-1118.1458740234377,399.5248107910156,-986.2635498046876,330.7169494628906,-1110.8995361328123,397.15966796875,-988.1117553710938
3,530.4125366210939,-797.0429077148438,539.37158203125,-790.712646484375,511.8624572753906,-805.944091796875,496.4239196777344,-795.79296875,470.72698974609375,-888.7215576171875,490.75225830078125,-781.2064819335938,473.5650634765625,-770.1515502929688,554.056640625,-761.6592407226562,562.4369506835939,-762.92578125,500.9266357421875,-827.0885620117188,550.7020874023439,-780.1784057617188,446.9023132324219,-923.3684692382812,480.0797424316406,-896.3009643554688,500.72344970703125,-827.0144653320312,430.2290954589844,-960.776123046875,496.2036743164063,-838.8243408203125,497.01007080078125,-836.657958984375,483.1185302734375,-851.9315795898438,446.2134399414063,-875.4976806640625,434.2638854980469,-867.8321533203125,429.1891784667969,-864.3367309570312,423.4180603027344,-854.4281616210938,442.5931396484375,-862.7679443359375,387.61236572265625,-837.011474609375,503.2293701171875,-924.3170166015624,435.4703369140625,-858.2841796875,510.71759033203125,-915.9893798828124,484.9405212402344,-936.2698974609376,486.9551696777344,-934.7086791992188,351.71044921875,-1066.30322265625,353.31243896484375,-1066.7135009765623,341.798095703125,-919.841796875,363.3863220214844,-934.185546875,378.2703857421875,-933.7568359375,368.99395751953125,-928.0679321289062,346.9415588378906,-913.2908935546876,326.5150451660156,-1117.496337890625,399.5202941894531,-986.3048706054688,331.2934875488281,-1110.1876220703123,396.69122314453125,-987.915771484375
4,530.4369506835939,-797.0451049804688,538.7742309570311,-791.6004028320312,511.8107604980469,-805.8953857421875,496.4686584472656,-795.7178344726562,470.4822998046875,-888.2581787109375,490.7384338378906,-781.2377319335938,473.5619201660156,-770.2109375,553.982666015625,-761.794677734375,563.0392456054688,-762.02294921875,500.9289245605469,-827.0831298828125,551.371826171875,-779.1079711914062,447.1290283203125,-923.0768432617188,480.064697265625,-896.2579345703125,500.7332763671875,-827.0197143554688,430.7003479003906,-959.9411010742188,496.18341064453125,-838.8101806640625,497.0280456542969,-836.6658935546875,483.1281127929688,-851.9364013671875,446.0576477050781,-875.4644165039062,433.9981384277344,-867.702880859375,429.17291259765625,-864.2651977539062,422.5369873046875,-853.75537109375,442.1149291992188,-862.55224609375,387.59600830078125,-837.0186157226562,503.2378234863281,-924.3228759765624,435.3949890136719,-858.2467041015625,510.7085266113281,-915.9830322265624,484.93505859375,-936.2771606445312,486.96722412109375,-934.69677734375,351.8009338378906,-1066.308349609375,352.6019592285156,-1066.2305908203123,341.80487060546875,-919.8672485351562,364.0312805175781,-934.6085815429688,378.32318115234375,-933.7363891601562,368.7057189941406,-927.7924194335938,346.7728271484375,-913.1166381835938,326.9836730957031,-1116.8896484375,399.4632263183594,-986.2735595703124,331.7588195800781,-1109.419189453125,396.6958618164063,-987.9228515625
5,530.4268188476561,-797.0505981445312,538.1424560546875,-792.461181640625,511.7245788574219,-805.8187255859375,496.5839538574219,-795.6683349609375,470.1678161621094,-887.7626342773438,490.87799072265625,-781.314453125,473.4942321777344,-770.1679077148438,553.864990234375,-761.9267578125,563.6722412109375,-761.0343017578125,500.9319763183594,-827.0776977539062,552.132080078125,-777.9703979492188,447.2672729492188,-922.907470703125,480.0755615234375,-896.2417602539062,500.7369384765625,-827.020263671875,431.1908264160156,-959.093017578125,496.1743774414063,-838.7969970703125,497.0475158691406,-836.666015625,483.1139526367188,-851.9239501953125,446.0446166992188,-875.5079345703125,433.9104309082031,-867.6796264648438,429.1968383789063,-864.2718505859375,421.689453125,-853.103759765625,441.808349609375,-862.3790283203125,387.5723571777344,-836.9517211914062,503.1898498535156,-924.2994995117188,435.3273620605469,-858.179443359375,510.7095031738281,-915.995849609375,485.6676940917969,-936.4937133789062,486.9766540527344,-934.6864624023438,351.73492431640625,-1066.3045654296877,352.3807678222656,-1066.11572265625,341.6210021972656,-920.02392578125,363.7752685546875,-934.52978515625,378.3239440917969,-933.6348266601562,368.4739074707031,-927.5391235351562,346.6859436035156,-913.0140991210938,327.39093017578125,-1116.1639404296877,399.4255065917969,-986.30908203125,332.3614501953125,-1108.6722412109377,396.71173095703125,-987.9324951171876
6,530.4088134765625,-797.0549926757812,537.5872802734375,-793.358154296875,511.6784057617188,-805.7918701171875,496.3896789550781,-795.62744140625,470.0891418457031,-887.1885375976562,490.962646484375,-781.3536376953125,473.4560852050781,-770.162841796875,554.0007934570311,-761.8636474609375,564.3221435546875,-760.0509033203125,500.9235229492188,-827.0663452148438,552.7966918945311,-776.9984741210938,447.2501220703125,-922.8985595703124,479.9933471679688,-896.2169189453125,500.7548828125,-827.0305786132812,431.8761901855469,-958.340087890625,496.19219970703125,-838.8048095703125,497.01593017578125,-836.6380004882812,483.1119995117188,-851.9197998046875,445.97607421875,-875.518310546875,433.8988342285156,-867.6775512695312,429.18267822265625,-864.264404296875,420.7618408203125,-852.5040283203125,441.732177734375,-862.3567504882812,387.5917663574219,-836.9728393554688,503.2181701660156,-924.3172607421876,435.3760070800781,-858.2127075195312,510.9916076660156,-915.9374389648438,485.6645202636719,-936.55615234375,486.9886474609375,-934.68408203125,351.7153625488281,-1066.3331298828123,352.2345886230469,-1066.26123046875,341.6044921875,-920.0542602539062,363.6749572753906,-934.4537963867188,378.3323974609375,-933.6119995117188,368.38555908203125,-927.4024658203124,346.6619873046875,-912.9485473632812,327.99114990234375,-1115.555908203125,399.3634643554688,-986.2816772460938,332.93621826171875,-1107.91796875,396.7225646972656,-987.9425659179688
7,530.424560546875,-797.0556030273438,537.0187377929689,-794.2672119140625,511.6396789550781,-805.7850341796875,496.4634399414063,-795.6385498046875,469.8388977050781,-886.7694091796875,490.95361328125,-781.3366088867188,473.6213073730469,-770.2369995117188,554.0057373046875,-761.9852294921875,564.9785766601562,-759.0726318359375,500.9469299316406,-827.0759887695312,553.5435791015625,-775.8545532226562,447.21337890625,-922.9074096679688,479.9168701171875,-896.1622314453125,500.74945068359375,-827.0435791015625,432.422119140625,-957.5330810546876,495.49346923828125,-838.2919921875,497.2312927246094,-836.991943359375,483.125,-851.931640625,445.987060546875,-875.52197265625,433.8014526367188,-867.589599609375,429.2903137207031,-864.2503662109375,419.8310241699219,-851.8374633789062,441.5711364746094,-862.3092041015625,387.6158142089844,-836.9376831054688,503.220947265625,-924.3112182617188,435.3475646972656,-858.1533813476562,511.1823120117188,-915.745361328125,485.5389404296875,-936.6983032226562,486.5550537109375,-934.583984375,351.7287292480469,-1066.3223876953123,352.2742614746094,-1066.301025390625,341.25091552734375,-919.8200073242188,363.5370178222656,-934.3604736328124,378.3410034179688,-933.63525390625,368.3009338378906,-927.3023681640624,346.62933349609375,-912.9189453125,328.49053955078125,-1114.8443603515623,399.2786560058594,-986.215576171875,333.575439453125,-1107.19921875,396.72442626953125,-987.9093627929688
8,530.40380859375,-797.0587158203125,536.41064453125,-795.1365356445312,511.6739196777344,-805.775390625,496.5680847167969,-795.3824462890625,469.8169860839844,-886.4263305664062,490.8818054199219,-781.3453979492188,473.6875915527344,-770.2959594726562,553.939208984375,-762.0831909179688,565.6170043945312,-758.0772094726562,500.9378356933594,-827.0735473632812,554.23046875,-774.9103393554688,447.3234252929688,-922.7835693359376,479.93017578125,-896.1674194335938,500.7511901855469,-827.0457153320312,432.9581909179688,-956.7178955078124,495.4938049316406,-838.308837890625,497.1745300292969,-836.8665771484375,483.103515625,-851.9390258789062,446.105712890625,-875.587646484375,433.8223876953125,-867.628662109375,429.3063049316406,-864.2199096679688,418.84515380859375,-851.1773681640625,441.521728515625,-862.2852783203125,387.6925048828125,-836.8720703125,503.2366638183594,-924.3187866210938,435.3322448730469,-858.1218872070312,511.3110961914063,-915.6849975585938,485.4989013671875,-936.603759765625,486.3180847167969,-934.5565795898438,351.8942565917969,-1066.1630859375,352.3200988769531,-1066.349609375,341.0837097167969,-919.6688842773438,363.5764465332031,-934.431884765625,378.32354736328125,-933.6512451171876,368.5986633300781,-927.454833984375,346.6600036621094,-912.9173583984376,328.94952392578125,-1114.1649169921877,399.2214050292969,-986.2156982421876,334.1741638183594,-1106.43603515625,396.718017578125,-987.9757690429688
9,530.415771484375,-797.068603515625,535.8262939453125,-796.0325927734375,511.65142822265625,-805.7472534179688,496.6315002441406,-795.2847900390625,469.4972229003906,-886.0465087890625,490.7622680664063,-781.2510986328125,473.691650390625,-770.2740478515625,553.7890014648439,-762.25390625,566.26806640625,-757.0985107421875,500.9415283203125,-827.0737915039062,554.7142944335939,-774.1376953125,447.380859375,-922.6936645507812,479.9048461914063,-896.2919311523438,500.7575073242188,-827.05859375,433.4363098144531,-955.8960571289062,495.6798400878906,-838.4388427734375,497.1776428222656,-836.859130859375,483.1219177246094,-851.9566040039062,446.0584716796875,-875.6368408203125,433.8759460449219,-867.6840209960938,429.2720642089844,-864.162353515625,417.92584228515625,-850.5691528320312,441.523193359375,-862.2747802734375,387.720458984375,-836.862548828125,503.5440979003906,-923.4985961914062,435.30255126953125,-858.1188354492188,511.2822570800781,-915.4951171875,485.4847106933594,-936.6078491210938,486.28814697265625,-934.5347900390624,352.00909423828125,-1066.0823974609377,352.0254821777344,-1066.3714599609377,341.172607421875,-919.6079711914062,363.5449523925781,-934.4049682617188,378.5237731933594,-933.812255859375,368.633544921875,-927.4515991210938,346.4002685546875,-912.78857421875,329.4281921386719,-1113.5052490234377,399.205322265625,-986.1072998046876,334.698974609375,-1105.578125,396.7155151367188,-987.979736328125
