,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti48_centroid_x,ti48_centroid_y,ti101_centroid_x,ti101_centroid_y,ti183_centroid_x,ti183_centroid_y,ti185_centroid_x,ti185_centroid_y,ti192_centroid_x,ti192_centroid_y,ti195_centroid_x,ti195_centroid_y,ti230_centroid_x,ti230_centroid_y,ti240_centroid_x,ti240_centroid_y,ti313_centroid_x,ti313_centroid_y,ti444_centroid_x,ti444_centroid_y,ti510_centroid_x,ti510_centroid_y,ti527_centroid_x,ti527_centroid_y,ti593_centroid_x,ti593_centroid_y,ti671_centroid_x,ti671_centroid_y
0,727.8037719726562,-2100.599365234375,643.9323120117188,-2233.558837890625,636.9783325195312,-2238.694091796875,602.1475830078125,-2293.824951171875,710.091552734375,-2184.935302734375,729.5819702148438,-2186.83251953125,643.408203125,-2252.592041015625,738.6053466796875,-2186.780029296875,730.71826171875,-2180.78662109375,710.3229370117188,-2184.857177734375,578.61572265625,-2338.65869140625,723.558349609375,-2172.049072265625,636.2723388671875,-2250.1083984375,677.6768188476562,-2179.9951171875,698.7958984375,-2144.22607421875,658.342529296875,-2211.72314453125,672.9871215820312,-2284.55859375
1,726.1824951171875,-2102.581298828125,644.0473022460938,-2233.5517578125,636.8861083984375,-2238.66943359375,601.1014404296875,-2295.06005859375,710.0302124023438,-2184.308837890625,729.5055541992188,-2187.2763671875,643.7598266601562,-2253.077880859375,738.6010131835938,-2186.781982421875,730.828369140625,-2180.9091796875,709.9478759765625,-2184.466064453125,577.7786865234375,-2339.6337890625,723.5557861328125,-2172.055419921875,636.0195922851562,-2250.206787109375,676.9959716796875,-2181.001220703125,697.775634765625,-2145.18603515625,657.0996704101562,-2213.8017578125,674.5289916992188,-2285.359619140625
2,725.6189575195312,-2103.732177734375,644.0098876953125,-2233.500732421875,636.9070434570312,-2238.5263671875,600.4021606445312,-2295.893798828125,710.0240478515625,-2184.29150390625,729.539306640625,-2186.996826171875,643.8148193359375,-2252.604248046875,738.6124267578125,-2186.79736328125,730.4468383789062,-2181.168701171875,709.9478149414062,-2184.4677734375,577.0115356445312,-2340.60693359375,723.5606079101562,-2172.06396484375,636.0003662109375,-2250.7431640625,676.2776489257812,-2182.039794921875,697.0325317382812,-2146.325927734375,655.964599609375,-2215.521240234375,675.2250366210938,-2285.86083984375
3,724.8524780273438,-2104.885498046875,644.0272216796875,-2233.56396484375,637.0238647460938,-2238.53173828125,600.2461547851562,-2297.37890625,710.0241088867188,-2184.28076171875,729.4366455078125,-2187.011962890625,643.9830932617188,-2252.52783203125,738.654296875,-2186.77685546875,730.2432250976562,-2181.35546875,709.9411010742188,-2184.453369140625,576.4896850585938,-2341.169677734375,723.5595092773438,-2172.06787109375,635.872802734375,-2251.05029296875,675.5684814453125,-2183.071044921875,696.5079956054688,-2147.644287109375,655.5398559570312,-2216.226318359375,676.3186645507812,-2286.533935546875
4,724.0310668945312,-2106.1162109375,643.9608154296875,-2233.5546875,636.9645385742188,-2238.405029296875,599.6022338867188,-2298.33740234375,710.0743408203125,-2184.318115234375,729.724365234375,-2187.159912109375,643.6475830078125,-2252.242919921875,738.648193359375,-2186.779541015625,730.818115234375,-2181.12841796875,709.9735717773438,-2184.45751953125,575.9595947265625,-2342.06103515625,723.5494995117188,-2172.0458984375,635.7919921875,-2251.658447265625,674.8531494140625,-2184.095458984375,695.8609619140625,-2148.850341796875,655.0745239257812,-2217.0615234375,677.21923828125,-2287.151123046875
5,723.1829833984375,-2107.2490234375,644.02197265625,-2233.558837890625,636.9972534179688,-2238.386474609375,599.0468139648438,-2299.375244140625,710.1008911132812,-2184.297607421875,729.929443359375,-2187.27490234375,643.375732421875,-2251.5,738.463623046875,-2187.103759765625,730.7028198242188,-2181.064208984375,709.9793090820312,-2184.447509765625,575.414306640625,-2343.06103515625,723.5528564453125,-2172.046142578125,635.8157958984375,-2252.265380859375,674.1177978515625,-2185.30517578125,695.2771606445312,-2149.90234375,654.4969482421875,-2217.89453125,678.1729736328125,-2287.79345703125
6,722.443115234375,-2108.387939453125,643.97998046875,-2233.51953125,636.991455078125,-2238.33251953125,598.5419921875,-2300.4697265625,710.1272583007812,-2184.27392578125,730.0354614257812,-2187.403564453125,643.2929077148438,-2250.9765625,738.361328125,-2187.388916015625,731.101806640625,-2181.027099609375,710.007080078125,-2184.433837890625,574.8056640625,-2344.04833984375,723.305419921875,-2171.47119140625,635.8082275390625,-2252.894287109375,673.1311645507812,-2187.06689453125,694.6071166992188,-2150.951416015625,653.9611206054688,-2218.726806640625,679.1233520507812,-2288.3974609375
7,721.654052734375,-2109.61572265625,643.9378051757812,-2233.489990234375,637.0076904296875,-2238.309326171875,597.9667358398438,-2301.496337890625,710.183349609375,-2184.257568359375,730.1441650390625,-2187.47509765625,643.43701171875,-2250.91748046875,738.3525390625,-2187.37744140625,731.2236938476562,-2181.1494140625,710.4183349609375,-2184.048828125,573.8568115234375,-2344.861083984375,723.2978515625,-2171.46435546875,635.7825927734375,-2253.4560546875,672.0724487304688,-2188.920654296875,693.7598876953125,-2152.172607421875,653.4618530273438,-2219.4345703125,680.0726318359375,-2289.029296875
8,720.9285278320312,-2110.719970703125,643.9461669921875,-2233.530029296875,636.843017578125,-2238.6220703125,597.21728515625,-2302.46044921875,709.8383178710938,-2184.4814453125,730.110107421875,-2187.52490234375,643.2713012695312,-2250.422119140625,738.3465576171875,-2187.3427734375,731.2125854492188,-2181.1455078125,710.4365234375,-2184.1904296875,573.0676879882812,-2345.875732421875,723.3059692382812,-2171.45654296875,635.9114379882812,-2254.1435546875,671.3294677734375,-2190.27490234375,692.9681396484375,-2153.3916015625,653.00341796875,-2220.183837890625,680.948486328125,-2289.583251953125
9,720.1729125976562,-2111.9072265625,643.9109497070312,-2233.55029296875,636.88720703125,-2238.48486328125,596.6682739257812,-2303.58544921875,709.8279418945312,-2184.75341796875,730.0711669921875,-2187.531005859375,643.14990234375,-2249.874755859375,738.3411865234375,-2187.3876953125,731.2188720703125,-2181.162109375,710.2888793945312,-2184.246826171875,572.32568359375,-2346.927490234375,723.3118286132812,-2171.46240234375,635.95556640625,-2254.763916015625,670.6699829101562,-2191.55126953125,692.207763671875,-2154.5908203125,652.611572265625,-2220.7734375,681.8782958984375,-2290.2080078125
