,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti5_centroid_x,ti5_centroid_y,ti80_centroid_x,ti80_centroid_y,ti117_centroid_x,ti117_centroid_y,ti254_centroid_x,ti254_centroid_y,ti293_centroid_x,ti293_centroid_y,ti317_centroid_x,ti317_centroid_y,ti369_centroid_x,ti369_centroid_y,ti407_centroid_x,ti407_centroid_y,ti467_centroid_x,ti467_centroid_y,ti694_centroid_x,ti694_centroid_y,ti759_centroid_x,ti759_centroid_y,ti776_centroid_x,ti776_centroid_y,ti841_centroid_x,ti841_centroid_y,ti921_centroid_x,ti921_centroid_y,ti1005_centroid_x,ti1005_centroid_y,ti1083_centroid_x,ti1083_centroid_y,ti1215_centroid_x,ti1215_centroid_y,ti1257_centroid_x,ti1257_centroid_y,ti1283_centroid_x,ti1283_centroid_y,ti1284_centroid_x,ti1284_centroid_y,ti1291_centroid_x,ti1291_centroid_y
0,751.8031005859375,-2074.797607421875,738.8248291015625,-2083.461181640625,738.560546875,-2095.48291015625,757.4596557617188,-2158.097900390625,645.717041015625,-2237.1767578125,778.5177001953125,-2153.163330078125,649.0770263671875,-2230.09814453125,708.0951538085938,-2181.948974609375,645.360107421875,-2238.424560546875,728.8600463867188,-2186.558837890625,729.6597900390625,-2180.64501953125,644.8843994140625,-2255.507080078125,697.0880737304688,-2147.130615234375,674.9857177734375,-2279.675537109375,683.0103149414062,-2282.762939453125,673.3837890625,-2276.041259765625,704.4901733398438,-2297.50830078125,541.3786010742189,-2230.75830078125,672.5342407226562,-2184.923828125,574.69140625,-2369.0966796875,596.426025390625,-2365.661376953125,602.4560546875,-2369.520263671875,643.5480346679688,-2245.1044921875,571.7638549804688,-2372.615478515625
1,752.3744506835938,-2073.887939453125,737.5396728515625,-2085.131591796875,739.1974487304688,-2094.4794921875,757.467041015625,-2158.105712890625,645.7477416992188,-2236.1845703125,778.5098266601562,-2153.1708984375,649.9920654296875,-2228.98046875,708.0883178710938,-2181.94775390625,645.8572387695312,-2237.040771484375,728.8765258789062,-2186.310546875,729.6021118164062,-2180.55322265625,644.1416625976562,-2254.5830078125,696.1689453125,-2148.3291015625,673.6942138671875,-2278.795654296875,683.6444091796875,-2283.02197265625,671.514404296875,-2274.776611328125,702.7634887695312,-2296.09912109375,541.3734130859375,-2230.761962890625,670.8911743164062,-2187.51953125,574.6846923828125,-2369.0986328125,596.436279296875,-2365.662841796875,602.2940063476562,-2367.73828125,643.5527954101562,-2244.704345703125,570.9193725585938,-2371.954345703125
2,753.4296264648438,-2072.132080078125,736.922607421875,-2086.07373046875,740.24072265625,-2092.85302734375,757.4679565429688,-2158.109375,646.067138671875,-2235.56689453125,778.4950561523438,-2153.166015625,650.50732421875,-2228.073486328125,708.068359375,-2181.953369140625,646.2230834960938,-2236.08642578125,729.1743774414062,-2186.53125,729.9053344726562,-2180.657470703125,644.177734375,-2254.049560546875,695.245361328125,-2149.4365234375,672.337890625,-2278.251708984375,684.0359497070312,-2283.32373046875,670.3990478515625,-2274.10009765625,702.2147216796875,-2295.53076171875,541.3705444335939,-2230.759521484375,669.7791137695312,-2189.53271484375,574.5748901367188,-2369.194580078125,596.437255859375,-2365.66015625,602.291015625,-2367.7451171875,643.507568359375,-2244.09765625,571.1317749023438,-2371.82275390625
3,754.0390014648438,-2071.318115234375,736.26318359375,-2087.052978515625,740.7955322265625,-2091.931396484375,757.605224609375,-2158.33740234375,646.576171875,-2235.345458984375,778.447265625,-2153.3095703125,651.27880859375,-2226.989990234375,708.0678100585938,-2181.9697265625,646.6156616210938,-2235.17919921875,729.2037963867188,-2186.514892578125,729.7275390625,-2180.697265625,643.9198608398438,-2253.703125,694.7548828125,-2150.575927734375,671.5384521484375,-2277.750244140625,680.951416015625,-2281.280029296875,669.343994140625,-2273.322509765625,700.92919921875,-2294.897216796875,541.3695678710939,-2230.73974609375,669.2448120117188,-2190.497802734375,574.506591796875,-2369.203857421875,596.4412231445312,-2365.66015625,602.4705200195312,-2367.842529296875,644.1239013671875,-2244.10498046875,570.9635009765625,-2372.10986328125
4,754.5838012695312,-2070.525390625,735.6663818359375,-2088.03173828125,741.4378051757812,-2091.06298828125,757.5831298828125,-2158.40673828125,646.927490234375,-2234.529296875,778.465087890625,-2153.36474609375,651.9388427734375,-2226.08203125,708.0501098632812,-2181.969482421875,647.0875854492188,-2234.399169921875,729.1710205078125,-2186.469482421875,729.9676513671875,-2180.888427734375,643.8016357421875,-2253.166015625,693.8681030273438,-2151.774169921875,670.710693359375,-2277.279296875,680.3446044921875,-2280.93017578125,668.50439453125,-2272.760498046875,699.9591064453125,-2294.187255859375,541.3652954101561,-2230.74560546875,668.6997680664062,-2191.465576171875,574.4852905273438,-2368.90869140625,596.4369506835938,-2365.665283203125,602.548095703125,-2367.738037109375,644.3173828125,-2243.47705078125,571.0767211914062,-2372.035888671875
5,755.0302124023438,-2069.86572265625,734.98828125,-2088.938232421875,742.0330810546875,-2090.199951171875,757.7236328125,-2158.299560546875,647.237060546875,-2233.880126953125,778.41748046875,-2153.333740234375,652.3524169921875,-2225.203857421875,707.9757080078125,-2182.01806640625,647.5751953125,-2233.56640625,729.16650390625,-2186.504638671875,730.1639404296875,-2180.9326171875,643.4724731445312,-2252.860595703125,693.1483154296875,-2153.27734375,669.8833618164062,-2276.895751953125,679.7557983398438,-2280.5908203125,667.26611328125,-2271.890625,698.6769409179688,-2293.52392578125,541.36865234375,-2230.74560546875,668.162841796875,-2192.439208984375,574.7841796875,-2369.2177734375,596.4110107421875,-2365.262451171875,602.5083618164062,-2367.9521484375,644.5112915039062,-2242.745361328125,571.131103515625,-2372.0458984375
6,755.7713012695312,-2068.701171875,734.4259643554688,-2089.86376953125,742.6265258789062,-2089.34375,757.8446044921875,-2158.27783203125,647.7117919921875,-2233.240234375,778.513671875,-2153.118408203125,652.9620971679688,-2224.1123046875,707.9829711914062,-2182.027099609375,647.9556274414062,-2232.6826171875,729.4822998046875,-2186.68408203125,729.9513549804688,-2180.80126953125,643.12451171875,-2252.520263671875,692.3485107421875,-2154.653076171875,669.1104736328125,-2276.393310546875,679.14697265625,-2280.247314453125,666.116455078125,-2271.358642578125,697.49267578125,-2292.63818359375,541.3663940429689,-2230.745361328125,667.6229858398438,-2193.408203125,574.7510375976562,-2369.23486328125,596.6296997070312,-2365.02001953125,602.5488891601562,-2367.9384765625,644.6430053710938,-2242.095458984375,571.1825561523438,-2372.039794921875
7,756.5081787109375,-2067.60107421875,733.8241577148438,-2090.79931640625,743.202392578125,-2088.452880859375,757.9443969726562,-2158.291748046875,648.0989379882812,-2232.59814453125,778.5120849609375,-2153.065673828125,653.5619506835938,-2223.25537109375,708.39794921875,-2182.1396484375,648.1586303710938,-2232.103271484375,729.4095458984375,-2186.664306640625,729.8549194335938,-2180.75439453125,643.0401000976562,-2252.03271484375,691.5449829101562,-2155.969970703125,668.2845458984375,-2276.02099609375,678.5494384765625,-2279.8974609375,665.2478637695312,-2270.78125,696.2998046875,-2291.757080078125,541.359619140625,-2230.74267578125,667.0446166992188,-2194.354248046875,574.7576904296875,-2369.23779296875,596.6866455078125,-2364.978515625,602.4437255859375,-2367.9814453125,644.7874145507812,-2241.32958984375,571.2098999023438,-2372.05419921875
8,757.2376098632812,-2066.461669921875,733.1909790039062,-2091.736328125,743.7535400390625,-2087.5595703125,757.9780883789062,-2158.302490234375,648.4315795898438,-2232.109375,778.590087890625,-2153.00390625,654.142578125,-2222.2861328125,708.5208129882812,-2182.255615234375,648.5089111328125,-2231.42431640625,729.4810791015625,-2186.733154296875,729.84912109375,-2180.752685546875,642.9357299804688,-2251.45458984375,690.76025390625,-2157.248779296875,667.5114135742188,-2275.50927734375,677.9650268554688,-2279.553955078125,664.2411499023438,-2270.1357421875,695.2799072265625,-2291.038818359375,541.3552856445311,-2230.748046875,666.5231323242188,-2195.3388671875,574.7133178710938,-2369.355224609375,596.7444458007812,-2364.809814453125,602.4609375,-2368.189453125,645.2025146484375,-2240.365478515625,571.2359619140625,-2372.07421875
9,757.9176635742188,-2065.40869140625,732.5945434570312,-2092.71142578125,744.3325805664062,-2086.68798828125,757.9989013671875,-2158.302001953125,648.7485961914062,-2231.645751953125,778.657470703125,-2152.8974609375,654.580322265625,-2221.647216796875,708.4264526367188,-2182.57958984375,649.0340576171875,-2230.438232421875,729.12255859375,-2186.564697265625,729.8460693359375,-2180.75,642.5616455078125,-2251.09228515625,690.0921630859375,-2158.127197265625,666.759033203125,-2275.080810546875,677.3615112304688,-2279.188720703125,663.2413940429688,-2269.465576171875,694.2986450195312,-2290.321533203125,541.354736328125,-2230.7548828125,665.2933959960938,-2196.63232421875,574.8330078125,-2369.2275390625,596.70458984375,-2365.084716796875,602.5023193359375,-2368.1484375,645.3616943359375,-2239.59912109375,571.25048828125,-2372.084716796875
