,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti38_centroid_x,ti38_centroid_y,ti155_centroid_x,ti155_centroid_y,ti75_centroid_x,ti75_centroid_y,ti224_centroid_x,ti224_centroid_y,ti352_centroid_x,ti352_centroid_y,ti400_centroid_x,ti400_centroid_y,ti407_centroid_x,ti407_centroid_y,ti461_centroid_x,ti461_centroid_y,ti471_centroid_x,ti471_centroid_y,ti496_centroid_x,ti496_centroid_y,ti510_centroid_x,ti510_centroid_y,ti516_centroid_x,ti516_centroid_y,ti534_centroid_x,ti534_centroid_y,ti539_centroid_x,ti539_centroid_y
0,-964.6243896484376,1433.78125,-972.4479370117188,1474.9813232421875,-966.5125732421876,1421.876220703125,-949.232421875,1424.8873291015625,-883.9468994140625,1332.991943359375,-935.0816650390624,1458.880126953125,-898.5785522460938,1354.1676025390625,-884.9610595703125,1339.9505615234375,-957.422607421875,1503.3477783203125,-996.8994750976562,1317.424072265625,-1000.5547485351562,1296.4871826171875,-934.1841430664062,1472.6754150390625,-943.5777587890624,1414.4437255859375,-991.4764404296876,1331.6978759765625,-943.4815063476562,1414.7310791015625,-939.2031860351562,1470.7789306640625,-928.2977905273438,1422.7412109375
1,-965.2243041992188,1433.0006103515625,-972.378173828125,1474.2626953125,-967.7153930664062,1421.0137939453125,-948.7805786132812,1425.7376708984375,-885.3528442382812,1335.0870361328125,-934.3975219726562,1459.7938232421875,-900.667236328125,1357.1719970703125,-886.0784301757812,1341.8736572265625,-958.4505615234376,1501.5972900390625,-996.6834106445312,1318.385498046875,-1000.5556640625,1296.47998046875,-934.9473266601562,1471.278076171875,-943.5772094726562,1414.4439697265625,-991.3916015625,1332.11669921875,-943.4818115234376,1414.7308349609375,-940.1476440429688,1469.3482666015625,-928.2979125976562,1422.7410888671875
2,-965.8287963867188,1431.8992919921875,-972.618896484375,1473.48486328125,-968.5669555664062,1419.331298828125,-948.3331298828124,1426.600830078125,-886.21533203125,1336.602783203125,-933.8819580078124,1460.8814697265625,-901.9625854492188,1359.0184326171875,-886.8818969726562,1342.914794921875,-959.05029296875,1500.96142578125,-996.5098266601562,1319.118896484375,-1000.5538940429688,1296.4691162109375,-936.2129516601562,1469.647216796875,-943.2943725585938,1414.632080078125,-991.3339233398438,1332.4033203125,-943.734619140625,1414.4759521484375,-941.2471923828124,1467.6934814453125,-927.4801635742188,1423.8526611328125
3,-966.2294921875,1431.0556640625,-972.3729858398438,1473.123291015625,-969.122314453125,1418.060302734375,-947.8812866210938,1428.5509033203125,-887.596435546875,1337.751220703125,-933.160888671875,1461.8135986328125,-902.7926635742188,1360.132568359375,-888.0182495117188,1344.58935546875,-958.9957275390624,1500.796630859375,-996.36376953125,1319.7950439453125,-1000.5547485351562,1296.458740234375,-936.9125366210938,1468.7060546875,-943.26025390625,1414.668701171875,-991.5154418945312,1332.2353515625,-943.5250244140624,1414.61376953125,-941.981201171875,1466.8636474609375,-927.3798217773438,1424.455078125
4,-966.641845703125,1430.1761474609375,-972.3648681640624,1472.7548828125,-969.7572021484376,1416.811279296875,-947.6952514648438,1429.15478515625,-888.568603515625,1339.1298828125,-932.515625,1462.6959228515625,-903.9767456054688,1361.4530029296875,-888.7271118164062,1346.0740966796875,-959.7127685546876,1499.92822265625,-995.7300415039062,1320.4344482421875,-1000.643310546875,1296.5596923828125,-937.7073974609376,1467.638427734375,-943.177490234375,1414.7457275390625,-991.3683471679688,1332.5322265625,-943.5339965820312,1414.6033935546875,-942.5841674804688,1465.9805908203125,-927.4122924804688,1424.6951904296875
5,-967.0448608398438,1429.3515625,-972.4669799804688,1472.35986328125,-970.2723388671876,1415.5758056640625,-947.2662353515624,1429.878173828125,-889.6387939453125,1340.4627685546875,-931.8469848632812,1463.668701171875,-904.87060546875,1362.656005859375,-889.8212280273438,1347.158447265625,-960.0135498046876,1499.34619140625,-995.3720092773438,1321.086669921875,-1000.6904907226562,1296.5501708984375,-938.4376220703124,1466.648193359375,-943.09619140625,1414.822021484375,-991.3790893554688,1332.7548828125,-943.5411376953124,1414.59375,-943.2353515625,1465.1307373046875,-926.3850708007812,1425.16357421875
6,-967.4864501953124,1428.4912109375,-972.4170532226562,1472.0189208984375,-970.5845336914062,1414.948974609375,-947.1173706054688,1430.5242919921875,-890.2889404296875,1341.992919921875,-931.1447143554688,1464.707763671875,-905.7297973632812,1363.88525390625,-890.5863647460938,1348.4376220703125,-960.2378540039062,1498.8582763671875,-995.1610717773438,1321.776611328125,-1000.6901245117188,1296.5499267578125,-939.2034912109376,1465.641845703125,-943.4102172851562,1414.4593505859375,-991.2261352539062,1333.0389404296875,-943.4813232421876,1414.1502685546875,-943.8660888671876,1464.302001953125,-925.762939453125,1425.7476806640625
7,-967.8995971679688,1427.6004638671875,-972.3892211914062,1471.71728515625,-971.1207275390624,1413.47412109375,-946.4185180664062,1431.9713134765625,-891.0960083007812,1343.4053955078125,-930.6238403320312,1465.8497314453125,-906.6535034179688,1364.9903564453125,-891.53173828125,1349.5272216796875,-960.4530029296876,1498.2552490234375,-994.8108520507812,1322.380126953125,-1000.69091796875,1296.549560546875,-939.9544677734376,1464.65673828125,-943.2470703125,1414.2557373046875,-991.1405639648438,1333.3177490234375,-943.5264892578124,1414.0048828125,-944.487548828125,1463.50537109375,-925.283935546875,1426.18408203125
8,-968.341796875,1426.7208251953125,-972.3779907226562,1471.32080078125,-971.5233764648438,1412.632568359375,-945.9143676757812,1432.92919921875,-892.1302490234375,1344.7314453125,-929.9840698242188,1466.9134521484375,-907.5838012695312,1366.1650390625,-892.3345336914062,1350.73046875,-960.5906372070312,1497.9178466796875,-994.5447387695312,1323.0169677734375,-1000.7623901367188,1296.545166015625,-940.7089233398438,1463.7025146484375,-943.2807006835938,1414.2691650390625,-990.849365234375,1333.7744140625,-943.4741821289062,1414.3797607421875,-945.075927734375,1462.7332763671875,-924.8501586914062,1426.5711669921875
9,-968.7691650390624,1425.811767578125,-972.3798217773438,1470.9532470703125,-972.0950317382812,1411.3675537109375,-945.7040405273438,1433.6998291015625,-893.0615844726562,1346.092529296875,-929.0789794921876,1468.11083984375,-908.45361328125,1367.35546875,-893.1053466796875,1351.9930419921875,-960.9134521484376,1497.603515625,-994.3228149414062,1323.67138671875,-1000.77783203125,1296.54296875,-941.464599609375,1462.7122802734375,-943.3153076171876,1414.282470703125,-990.6287231445312,1334.1322021484375,-943.4646606445312,1414.36279296875,-945.6419677734376,1461.975830078125,-924.62109375,1426.7696533203125
