,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti4_centroid_x,ti4_centroid_y,ti5_centroid_x,ti5_centroid_y,ti7_centroid_x,ti7_centroid_y,ti182_centroid_x,ti182_centroid_y,ti279_centroid_x,ti279_centroid_y,ti386_centroid_x,ti386_centroid_y,ti393_centroid_x,ti393_centroid_y,ti404_centroid_x,ti404_centroid_y,ti435_centroid_x,ti435_centroid_y,ti467_centroid_x,ti467_centroid_y,ti485_centroid_x,ti485_centroid_y,ti412_centroid_x,ti412_centroid_y,ti529_centroid_x,ti529_centroid_y,ti535_centroid_x,ti535_centroid_y,ti629_centroid_x,ti629_centroid_y,ti640_centroid_x,ti640_centroid_y,ti710_centroid_x,ti710_centroid_y,ti749_centroid_x,ti749_centroid_y,ti816_centroid_x,ti816_centroid_y,ti841_centroid_x,ti841_centroid_y,ti865_centroid_x,ti865_centroid_y,ti870_centroid_x,ti870_centroid_y,ti886_centroid_x,ti886_centroid_y,ti888_centroid_x,ti888_centroid_y,ti967_centroid_x,ti967_centroid_y,ti985_centroid_x,ti985_centroid_y,ti1012_centroid_x,ti1012_centroid_y,ti1020_centroid_x,ti1020_centroid_y,ti1032_centroid_x,ti1032_centroid_y,ti1036_centroid_x,ti1036_centroid_y,ti1044_centroid_x,ti1044_centroid_y,ti1045_centroid_x,ti1045_centroid_y,ti1048_centroid_x,ti1048_centroid_y,ti1053_centroid_x,ti1053_centroid_y,ti1075_centroid_x,ti1075_centroid_y
0,689.3142700195312,-2159.1767578125,717.855224609375,-2174.062744140625,707.7366943359375,-2183.733642578125,636.803466796875,-2249.420166015625,623.2057495117188,-2260.168212890625,714.9119262695312,-2131.71533203125,601.7093505859375,-2295.434326171875,591.9114379882812,-2317.09423828125,685.9247436523438,-2285.668701171875,592.3209228515625,-2315.5380859375,611.6030883789062,-2240.408935546875,577.8601684570312,-2349.94775390625,551.7293090820311,-2370.75390625,577.6103515625,-2340.164306640625,614.2582397460938,-2242.182861328125,560.3510131835939,-2362.01513671875,586.6627807617188,-2337.50439453125,548.6422729492189,-2372.935546875,599.5848999023438,-2311.23974609375,534.751953125,-2391.668212890625,538.4111328125,-2381.07177734375,538.7479248046875,-2403.982177734375,596.238525390625,-2366.400634765625,601.3085327148438,-2367.396484375,607.5313110351562,-2371.119873046875,618.8327026367188,-2277.80615234375,535.6385498046875,-2396.136962890625,538.574951171875,-2402.599853515625,586.1380615234375,-2389.39453125,605.7922973632812,-2399.939453125,531.619384765625,-2389.456787109375,586.4739990234375,-2389.28466796875,542.4453735351561,-2430.86376953125,605.1640014648438,-2385.78125,642.8388671875,-2410.60498046875,586.1627807617188,-2389.190185546875,543.1309814453125,-2414.059326171875,539.3721313476561,-2419.641357421875
1,688.095458984375,-2161.158203125,717.8208618164062,-2174.04931640625,708.0367431640625,-2182.950927734375,636.569091796875,-2250.6669921875,622.333251953125,-2261.421630859375,716.576416015625,-2129.275390625,601.2899780273438,-2296.37548828125,591.6760864257812,-2318.3544921875,683.8366088867188,-2284.191650390625,591.9395141601562,-2316.6474609375,611.43359375,-2240.207763671875,577.8783569335938,-2349.955810546875,551.7337646484375,-2370.756591796875,577.2074584960938,-2340.996337890625,614.0958251953125,-2242.077392578125,560.0098876953125,-2362.925537109375,587.5733032226562,-2336.1181640625,547.884521484375,-2373.491455078125,600.2479248046875,-2309.773681640625,534.7474365234375,-2391.666748046875,537.9222412109375,-2381.3896484375,538.4015502929689,-2403.847900390625,596.2425537109375,-2366.39306640625,601.0979614257812,-2366.92724609375,607.5323486328125,-2371.122314453125,618.786865234375,-2277.408447265625,535.5225830078125,-2396.460205078125,538.8092651367189,-2403.672119140625,586.1378173828125,-2389.39111328125,605.790771484375,-2399.951416015625,531.8866577148439,-2389.08740234375,586.47998046875,-2389.28564453125,542.45068359375,-2430.86279296875,605.1649780273438,-2385.781494140625,642.8402709960938,-2410.604736328125,586.1671752929688,-2389.19091796875,543.3890380859375,-2414.75439453125,539.372802734375,-2419.636474609375
2,687.4992065429688,-2162.01904296875,717.8185424804688,-2174.042724609375,708.034423828125,-2182.9443359375,636.5433959960938,-2251.35546875,621.6624755859375,-2262.241455078125,717.1736450195312,-2128.362060546875,600.881103515625,-2297.2197265625,591.1676025390625,-2319.1865234375,682.5427856445312,-2283.400146484375,591.5704345703125,-2317.466796875,611.544189453125,-2240.312255859375,578.2352905273438,-2349.483642578125,550.2127075195311,-2371.781982421875,576.7863159179688,-2341.69091796875,614.13330078125,-2242.093017578125,559.7976684570311,-2363.50927734375,588.2164306640625,-2335.53955078125,547.6647338867189,-2373.769775390625,599.6058959960938,-2311.19873046875,534.7561645507811,-2392.38134765625,537.3486938476561,-2381.610595703125,538.5075073242189,-2403.950927734375,596.24658203125,-2366.391357421875,601.1033325195312,-2366.923583984375,607.5322875976562,-2371.12646484375,620.051025390625,-2275.998779296875,535.5194702148439,-2396.87744140625,538.9076538085939,-2404.056396484375,586.1363525390625,-2389.390625,605.7547607421875,-2399.703857421875,531.8624267578125,-2389.28125,586.485107421875,-2389.284423828125,542.4559936523439,-2430.865966796875,605.5875854492188,-2385.53662109375,642.7809448242188,-2410.736083984375,586.16015625,-2389.189208984375,543.5277099609375,-2415.24609375,539.3236083984375,-2419.576416015625
3,686.7426147460938,-2162.899658203125,717.808349609375,-2174.03564453125,708.0242919921875,-2182.9375,636.4545288085938,-2252.01904296875,621.1300659179688,-2263.271240234375,717.8570556640625,-2127.28076171875,600.6171264648438,-2297.99365234375,590.7951049804688,-2319.97705078125,681.4652099609375,-2282.785888671875,591.212890625,-2318.08642578125,611.446044921875,-2240.32470703125,578.1441040039062,-2349.36669921875,549.8867797851561,-2372.35400390625,576.2191772460938,-2342.243408203125,614.2426147460938,-2242.159423828125,558.9067993164061,-2363.674560546875,588.7803344726562,-2334.48828125,547.0177612304689,-2374.4228515625,600.7979125976562,-2308.5234375,534.61865234375,-2392.64794921875,537.2318725585939,-2381.996337890625,538.3697509765625,-2403.89990234375,596.2979125976562,-2366.40771484375,601.104248046875,-2366.926025390625,607.5259399414062,-2371.12548828125,620.8436279296875,-2274.97900390625,535.6693725585939,-2396.95068359375,538.9478149414061,-2404.116943359375,587.4428100585938,-2387.081298828125,605.7528686523438,-2399.70556640625,531.8157958984375,-2389.668212890625,586.4888305664062,-2389.2861328125,542.45263671875,-2430.86181640625,605.644287109375,-2385.4560546875,642.8427124023438,-2410.653076171875,586.1563720703125,-2389.18603515625,543.599365234375,-2415.262939453125,539.3735961914061,-2419.55517578125
4,686.096435546875,-2163.932373046875,717.7836303710938,-2174.022705078125,707.9992065429688,-2182.924072265625,636.4588012695312,-2252.728515625,620.5166015625,-2264.18603515625,718.6702270507812,-2126.019775390625,600.3060913085938,-2298.74267578125,590.4771728515625,-2320.751220703125,680.29833984375,-2282.03955078125,590.8247680664062,-2318.864013671875,611.4879150390625,-2240.3671875,578.0529174804688,-2349.247314453125,549.481689453125,-2372.862060546875,575.8572998046875,-2342.673583984375,614.2401733398438,-2242.159912109375,558.4972534179689,-2364.093017578125,589.3984375,-2333.604248046875,546.4428100585939,-2374.760986328125,601.0482177734375,-2307.980224609375,534.4923706054689,-2392.917724609375,536.8931884765625,-2382.22216796875,538.7671508789061,-2404.82568359375,596.44873046875,-2365.994873046875,601.1832885742188,-2366.820068359375,607.5222778320312,-2371.127197265625,621.1966552734375,-2274.51171875,535.4148559570311,-2397.171630859375,539.2776489257811,-2404.589599609375,587.4503173828125,-2387.074462890625,605.7437133789062,-2399.70263671875,531.8239135742189,-2390.16455078125,586.484619140625,-2389.281005859375,542.8513793945311,-2430.750732421875,605.53564453125,-2385.401123046875,642.7711791992188,-2410.6796875,586.1526489257812,-2389.182861328125,543.8187255859375,-2415.575439453125,539.3798217773439,-2419.540283203125
5,685.4841918945312,-2164.89208984375,717.7552490234375,-2174.005126953125,707.970703125,-2182.90625,636.4020385742188,-2253.39453125,619.90625,-2265.062744140625,719.4783325195312,-2124.754638671875,599.8617553710938,-2299.48779296875,590.099609375,-2321.54052734375,678.9466552734375,-2281.1923828125,590.3828125,-2319.59716796875,611.218017578125,-2240.147705078125,577.9600830078125,-2349.173828125,548.7352294921875,-2373.277587890625,575.5579833984375,-2343.15625,614.186767578125,-2242.12548828125,557.9645385742189,-2364.5947265625,589.7240600585938,-2332.964111328125,546.2545776367189,-2375.012939453125,601.4068603515625,-2307.188720703125,534.7159423828125,-2393.65478515625,536.6290283203125,-2382.4384765625,539.0386962890625,-2405.291259765625,596.458984375,-2365.927490234375,601.1387329101562,-2366.677978515625,607.523193359375,-2371.128173828125,621.9033813476562,-2273.6943359375,535.3285522460939,-2397.400390625,539.3890991210939,-2404.664306640625,587.5919189453125,-2386.972900390625,605.8438720703125,-2399.630615234375,531.86767578125,-2390.58447265625,587.2462768554688,-2386.9130859375,542.8880004882811,-2430.725341796875,605.6239624023438,-2385.251708984375,642.8091430664062,-2410.63427734375,586.1541748046875,-2389.18798828125,544.0906372070311,-2416.19970703125,539.364501953125,-2419.59423828125
6,684.8493041992188,-2165.833984375,717.7406616210938,-2174.00048828125,707.9285888671875,-2182.59228515625,636.4171142578125,-2254.066650390625,619.237548828125,-2266.006591796875,720.3024291992188,-2123.502685546875,599.4935913085938,-2300.41015625,589.597900390625,-2322.260498046875,677.9736328125,-2280.50732421875,590.0137939453125,-2320.35498046875,611.3328247070312,-2240.343505859375,577.8764038085938,-2349.0673828125,548.07958984375,-2373.798583984375,575.243408203125,-2343.66015625,614.2061157226562,-2242.1376953125,557.3843383789061,-2365.21044921875,590.2989501953125,-2332.05126953125,545.903076171875,-2375.23486328125,601.7603759765625,-2306.779541015625,534.8900756835939,-2394.11328125,536.3174438476561,-2382.750244140625,539.3096923828125,-2405.749755859375,596.4838256835938,-2365.92431640625,601.2069702148438,-2366.743408203125,607.6156616210938,-2371.38623046875,622.442626953125,-2273.139892578125,535.4132080078125,-2397.54638671875,539.3514404296875,-2405.10498046875,587.5134887695312,-2387.039794921875,605.7534790039062,-2399.676025390625,531.9058227539061,-2390.996337890625,587.2606201171875,-2386.903076171875,542.9291381835939,-2430.701171875,605.6658935546875,-2385.201904296875,642.8358154296875,-2410.64453125,586.15185546875,-2389.185302734375,544.2960815429689,-2416.76611328125,539.3759765625,-2419.621826171875
7,684.1439819335938,-2166.73681640625,717.7128295898438,-2173.97802734375,707.7891845703125,-2182.49951171875,636.451416015625,-2254.77392578125,618.7417602539062,-2266.767822265625,721.1121215820312,-2122.234130859375,599.1679077148438,-2301.266845703125,589.2515258789062,-2323.022216796875,677.0386352539062,-2279.855712890625,589.6121215820312,-2321.014892578125,611.412841796875,-2240.444091796875,577.760009765625,-2348.928955078125,547.688720703125,-2374.1142578125,574.9227905273438,-2344.080322265625,614.2379150390625,-2242.162109375,557.0553588867189,-2365.65625,590.79833984375,-2331.255615234375,545.5034790039061,-2375.568603515625,602.2957153320312,-2306.189453125,535.0098266601561,-2394.3798828125,536.1060180664061,-2383.03466796875,539.3650512695311,-2405.9208984375,596.538818359375,-2365.711181640625,601.1068115234375,-2366.918701171875,607.7518310546875,-2371.556396484375,622.6747436523438,-2272.624267578125,535.4326782226561,-2397.88037109375,539.40771484375,-2405.359619140625,587.5680541992188,-2386.992431640625,605.697509765625,-2399.72998046875,531.9924926757811,-2391.388671875,587.2719116210938,-2386.937744140625,542.9580688476561,-2430.673583984375,605.6898193359375,-2385.141845703125,642.8321533203125,-2410.652099609375,586.1464233398438,-2389.189208984375,544.347412109375,-2416.952880859375,539.4066162109375,-2419.723388671875
8,683.5068969726562,-2167.648193359375,717.7027587890625,-2173.9677734375,707.7791137695312,-2182.4892578125,636.5528564453125,-2255.44140625,618.193603515625,-2267.554443359375,721.93701171875,-2120.97802734375,598.4601440429688,-2302.443603515625,588.8849487304688,-2323.745849609375,675.7969970703125,-2278.999267578125,589.2490844726562,-2321.716552734375,611.566162109375,-2240.543701171875,577.6881103515625,-2348.815673828125,547.1004028320311,-2374.626220703125,574.509765625,-2344.583251953125,614.2431640625,-2242.15869140625,556.5988159179689,-2366.128662109375,591.4259643554688,-2330.26025390625,545.09130859375,-2375.90087890625,602.6328735351562,-2305.49365234375,535.0628051757811,-2394.803466796875,535.99853515625,-2383.225341796875,539.5785522460939,-2406.454345703125,596.5441284179688,-2365.720703125,601.1044921875,-2366.851806640625,607.7986450195312,-2371.693359375,622.5308837890625,-2272.7314453125,535.5599365234375,-2397.9296875,539.5557861328125,-2405.6689453125,587.5637817382812,-2386.992919921875,605.8200073242188,-2399.552490234375,532.0946655273439,-2391.7568359375,587.2648315429688,-2386.93603515625,542.9887084960939,-2430.64306640625,605.6968383789062,-2385.021240234375,642.8719482421875,-2410.6328125,586.1441040039062,-2389.189453125,544.6423950195311,-2417.545654296875,539.3748779296875,-2419.68603515625
9,682.82763671875,-2168.593017578125,717.6864624023438,-2173.95947265625,707.7626953125,-2182.48095703125,636.64453125,-2256.07421875,617.61962890625,-2268.392333984375,722.7557983398438,-2119.724365234375,598.0941772460938,-2303.1552734375,588.5629272460938,-2324.482177734375,674.9285278320312,-2278.443359375,588.8976440429688,-2322.3896484375,611.613037109375,-2240.560302734375,577.593994140625,-2348.68798828125,546.6621704101561,-2374.959716796875,574.1469116210938,-2345.133056640625,614.2734375,-2242.189453125,556.1448974609375,-2366.603271484375,591.7972412109375,-2329.567138671875,544.2246704101561,-2376.560791015625,602.9680786132812,-2304.80029296875,535.1101684570311,-2394.94775390625,535.700439453125,-2383.56689453125,539.8262939453125,-2406.894775390625,596.6096801757812,-2365.365478515625,601.1229858398438,-2366.78857421875,607.8457641601562,-2371.75244140625,622.9552612304688,-2272.336181640625,535.5087280273439,-2398.20703125,539.6107177734375,-2406.043701171875,587.7183837890625,-2386.99365234375,605.8531494140625,-2399.496826171875,532.2100219726561,-2392.1435546875,587.2335815429688,-2386.798828125,543.01904296875,-2430.612060546875,605.7302856445312,-2384.94970703125,642.889404296875,-2410.6328125,586.1856689453125,-2389.149658203125,544.8255004882811,-2417.93896484375,539.3049926757811,-2419.6259765625
