,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti4_centroid_x,ti4_centroid_y,ti5_centroid_x,ti5_centroid_y,ti9_centroid_x,ti9_centroid_y,ti86_centroid_x,ti86_centroid_y,ti115_centroid_x,ti115_centroid_y,ti123_centroid_x,ti123_centroid_y,ti124_centroid_x,ti124_centroid_y,ti204_centroid_x,ti204_centroid_y,ti227_centroid_x,ti227_centroid_y,ti231_centroid_x,ti231_centroid_y,ti246_centroid_x,ti246_centroid_y,ti295_centroid_x,ti295_centroid_y,ti592_centroid_x,ti592_centroid_y,ti684_centroid_x,ti684_centroid_y,ti688_centroid_x,ti688_centroid_y,ti701_centroid_x,ti701_centroid_y,ti729_centroid_x,ti729_centroid_y,ti784_centroid_x,ti784_centroid_y,ti816_centroid_x,ti816_centroid_y,ti830_centroid_x,ti830_centroid_y,ti861_centroid_x,ti861_centroid_y,ti904_centroid_x,ti904_centroid_y
0,649.9716796875,-2224.73291015625,639.2534790039062,-2241.72119140625,641.4514770507812,-2232.617431640625,626.0244750976562,-2259.162841796875,647.3822631835938,-2223.117919921875,674.403564453125,-2277.427978515625,608.4756469726562,-2282.361328125,704.9068603515625,-2297.6201171875,689.6415405273438,-2286.63037109375,723.1277465820312,-2309.359619140625,698.9382934570312,-2293.242431640625,577.8560791015625,-2339.4716796875,611.5535888671875,-2240.5068359375,610.2019653320312,-2239.31494140625,649.1248779296875,-2259.746337890625,574.6756591796875,-2369.070068359375,574.54833984375,-2369.361572265625,571.5133056640625,-2371.643798828125,596.48828125,-2366.034912109375,605.7194213867188,-2372.50146484375,533.4136352539061,-2392.507568359375,596.5391845703125,-2365.909423828125,539.48779296875,-2418.94287109375,537.0438842773439,-2417.165283203125,537.4806518554689,-2416.988037109375
1,649.4605712890625,-2225.46826171875,639.0286254882812,-2241.531982421875,641.3841552734375,-2232.748291015625,625.7481079101562,-2259.2265625,647.46142578125,-2223.14892578125,672.7276000976562,-2276.376220703125,608.0090942382812,-2283.225830078125,703.119384765625,-2296.234619140625,687.5689086914062,-2285.564697265625,723.1226196289062,-2309.338134765625,696.92919921875,-2291.857666015625,577.038330078125,-2340.5439453125,611.6547241210938,-2240.5712890625,610.2098999023438,-2239.3017578125,648.5794067382812,-2259.36669921875,574.67919921875,-2369.073486328125,574.5128173828125,-2369.29833984375,571.532958984375,-2372.033935546875,596.5194091796875,-2365.4677734375,605.2643432617188,-2371.286865234375,533.1277465820311,-2392.736083984375,596.4620971679688,-2365.634765625,539.4842529296875,-2418.948486328125,537.0365600585939,-2417.18798828125,537.5213012695311,-2417.008056640625
2,649.0144653320312,-2226.480712890625,639.1068725585938,-2241.625732421875,641.3564453125,-2232.742919921875,624.9146118164062,-2259.612060546875,647.2022705078125,-2222.935302734375,671.7090454101562,-2275.67578125,607.6775512695312,-2284.022216796875,702.0525512695312,-2295.022216796875,686.3902587890625,-2284.848876953125,720.3527221679688,-2307.463623046875,695.5990600585938,-2291.041259765625,576.682861328125,-2341.2490234375,611.8228759765625,-2240.66845703125,610.1964721679688,-2239.2587890625,647.7018432617188,-2258.464599609375,575.3478393554688,-2369.1494140625,574.7081909179688,-2369.259033203125,571.306640625,-2372.13818359375,596.5867309570312,-2365.305419921875,605.2640380859375,-2371.291748046875,533.2388916015625,-2393.12109375,596.451416015625,-2365.640380859375,539.4807739257811,-2418.9462890625,537.0324096679689,-2417.19140625,537.5333862304689,-2417.0283203125
3,648.5160522460938,-2226.866455078125,639.151123046875,-2241.658935546875,641.36474609375,-2232.75390625,624.474609375,-2260.00634765625,647.2427368164062,-2223.28125,670.7097778320312,-2275.041259765625,607.2767333984375,-2284.71484375,701.1212768554688,-2294.20947265625,685.2885131835938,-2284.105712890625,719.4898681640625,-2306.538818359375,694.6008911132812,-2290.32373046875,576.083251953125,-2341.771484375,611.810546875,-2240.649169921875,610.1755981445312,-2239.252685546875,647.327880859375,-2257.87548828125,575.0836791992188,-2369.230224609375,574.9179077148438,-2369.0419921875,571.2785034179688,-2371.768310546875,596.5872802734375,-2365.30615234375,605.398681640625,-2371.35595703125,533.2858276367189,-2393.522216796875,596.447021484375,-2365.641845703125,539.4741821289061,-2418.955078125,537.0361328125,-2417.194580078125,537.4401245117189,-2417.10107421875
4,648.2482299804688,-2227.33642578125,639.1282958984375,-2241.6044921875,641.3760986328125,-2232.7666015625,623.980224609375,-2260.3916015625,647.3668823242188,-2223.27978515625,669.7545776367188,-2274.43994140625,606.8462524414062,-2285.435791015625,699.892333984375,-2293.201904296875,683.8038330078125,-2283.26123046875,718.4978637695312,-2305.734375,693.3270263671875,-2289.5283203125,575.7163696289062,-2342.346923828125,611.9876098632812,-2240.736328125,610.18505859375,-2239.27294921875,646.9046020507812,-2257.348876953125,575.2279052734375,-2369.24609375,574.9183349609375,-2368.912841796875,571.4405517578125,-2371.87646484375,596.72119140625,-2365.166259765625,605.4364013671875,-2371.42626953125,533.3614501953125,-2393.864013671875,596.4442138671875,-2365.648193359375,539.4929809570311,-2418.99755859375,537.343505859375,-2416.98974609375,537.4564819335939,-2417.13134765625
5,647.9598999023438,-2227.770263671875,639.1875610351562,-2241.628662109375,641.3633422851562,-2232.76806640625,623.5259399414062,-2260.795166015625,647.2573852539062,-2223.4248046875,668.7633666992188,-2273.80908203125,606.4632568359375,-2286.175048828125,698.830078125,-2292.390869140625,682.4210815429688,-2282.505859375,717.7168579101562,-2305.05712890625,692.1294555664062,-2288.73681640625,575.3155517578125,-2343.068603515625,611.7202758789062,-2240.542724609375,610.19287109375,-2239.20654296875,646.45751953125,-2256.791015625,575.203369140625,-2369.3818359375,574.9564819335938,-2369.055908203125,571.464599609375,-2371.929443359375,596.5518188476562,-2364.9775390625,605.421875,-2371.440185546875,533.5413208007811,-2394.17578125,596.75927734375,-2365.635986328125,539.5387573242189,-2419.001953125,537.4567260742189,-2417.0419921875,537.4107666015625,-2417.195068359375
6,647.7050170898438,-2228.16845703125,639.1452026367188,-2241.59716796875,641.3392944335938,-2232.73681640625,623.0817260742188,-2261.2021484375,647.3506469726562,-2223.34716796875,667.8040161132812,-2273.20361328125,606.1322021484375,-2286.74658203125,697.8264770507812,-2291.8837890625,681.1719360351562,-2281.7373046875,717.193115234375,-2304.525634765625,691.018798828125,-2287.968505859375,574.8494873046875,-2343.711669921875,611.5380249023438,-2240.396240234375,610.2100219726562,-2239.19580078125,646.0286865234375,-2256.2998046875,575.0796508789062,-2369.342041015625,575.0626831054688,-2369.212646484375,571.566162109375,-2372.073974609375,596.6434936523438,-2364.99755859375,605.40625,-2371.425537109375,533.676513671875,-2394.58935546875,596.7518920898438,-2365.643798828125,539.3680419921875,-2419.028076171875,537.4732055664061,-2417.064453125,537.4317626953125,-2417.145263671875
7,647.4216918945312,-2228.6015625,639.106201171875,-2241.592041015625,641.3635864257812,-2232.744140625,622.6109008789062,-2261.6142578125,647.3674926757812,-2223.26171875,666.825439453125,-2272.580078125,605.7320556640625,-2287.57470703125,696.7153930664062,-2291.286376953125,680.0176391601562,-2280.961669921875,716.4992065429688,-2303.909912109375,689.9122924804688,-2287.21728515625,574.3814086914062,-2344.387451171875,611.4371337890625,-2240.4375,610.1793823242188,-2239.064697265625,645.6187744140625,-2255.789306640625,575.02294921875,-2369.256103515625,575.1301879882812,-2369.244140625,571.6084594726562,-2372.014404296875,596.6294555664062,-2365.24609375,605.4287109375,-2371.28662109375,533.9061889648439,-2394.903564453125,596.7484741210938,-2365.645751953125,539.4121704101561,-2419.011962890625,537.4503173828125,-2417.10205078125,537.5244750976561,-2417.1279296875
8,647.1602172851562,-2229.01171875,639.156494140625,-2241.61474609375,641.3222045898438,-2232.762939453125,622.179931640625,-2262.06884765625,647.4086303710938,-2223.22705078125,665.5975952148438,-2271.79931640625,605.3182983398438,-2288.345703125,696.0478515625,-2290.909912109375,679.1896362304688,-2280.397705078125,715.5852661132812,-2303.443603515625,688.808349609375,-2286.467041015625,573.902587890625,-2344.977783203125,611.2438354492188,-2240.363037109375,610.1693725585938,-2239.0244140625,645.2735595703125,-2255.244873046875,574.985107421875,-2369.110107421875,575.085205078125,-2369.232177734375,571.61328125,-2372.08984375,596.651611328125,-2365.46142578125,605.4412231445312,-2371.179443359375,534.0672607421875,-2395.242919921875,596.7409057617188,-2365.652587890625,539.4479370117189,-2418.97216796875,537.5313110351561,-2416.99072265625,537.5720825195311,-2417.106201171875
9,646.911376953125,-2229.384521484375,639.1184692382812,-2241.598876953125,641.2958374023438,-2232.7744140625,621.7610473632812,-2262.53173828125,647.4031372070312,-2223.244384765625,664.7123413085938,-2271.1767578125,604.856689453125,-2289.360595703125,694.756591796875,-2290.1103515625,678.2568359375,-2279.818603515625,714.2952880859375,-2302.624755859375,687.7387084960938,-2285.77880859375,573.4495239257812,-2345.658203125,611.0702514648438,-2240.287109375,610.1788330078125,-2238.990234375,644.9345092773438,-2254.7275390625,574.991455078125,-2369.145751953125,575.0772705078125,-2369.254150390625,571.60546875,-2372.11083984375,596.7189331054688,-2365.33935546875,605.4070434570312,-2370.94580078125,534.196533203125,-2395.614990234375,596.7344970703125,-2365.653076171875,539.3560791015625,-2418.991943359375,537.5103149414061,-2417.003662109375,537.6736450195311,-2417.056884765625
