,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti7_centroid_x,ti7_centroid_y,ti8_centroid_x,ti8_centroid_y,ti9_centroid_x,ti9_centroid_y,ti13_centroid_x,ti13_centroid_y,ti46_centroid_x,ti46_centroid_y,ti117_centroid_x,ti117_centroid_y,ti125_centroid_x,ti125_centroid_y,ti230_centroid_x,ti230_centroid_y,ti259_centroid_x,ti259_centroid_y,ti265_centroid_x,ti265_centroid_y,ti333_centroid_x,ti333_centroid_y,ti351_centroid_x,ti351_centroid_y,ti359_centroid_x,ti359_centroid_y,ti407_centroid_x,ti407_centroid_y,ti446_centroid_x,ti446_centroid_y,ti465_centroid_x,ti465_centroid_y,ti478_centroid_x,ti478_centroid_y,ti488_centroid_x,ti488_centroid_y,ti504_centroid_x,ti504_centroid_y,ti511_centroid_x,ti511_centroid_y,ti530_centroid_x,ti530_centroid_y,ti539_centroid_x,ti539_centroid_y,ti611_centroid_x,ti611_centroid_y,ti529_centroid_x,ti529_centroid_y,ti614_centroid_x,ti614_centroid_y,ti617_centroid_x,ti617_centroid_y,ti647_centroid_x,ti647_centroid_y,ti649_centroid_x,ti649_centroid_y,ti676_centroid_x,ti676_centroid_y,ti690_centroid_x,ti690_centroid_y,ti719_centroid_x,ti719_centroid_y,ti734_centroid_x,ti734_centroid_y,ti736_centroid_x,ti736_centroid_y,ti783_centroid_x,ti783_centroid_y,ti799_centroid_x,ti799_centroid_y,ti922_centroid_x,ti922_centroid_y,ti923_centroid_x,ti923_centroid_y,ti924_centroid_x,ti924_centroid_y,ti936_centroid_x,ti936_centroid_y,ti994_centroid_x,ti994_centroid_y
0,402.7710571289063,-989.755615234375,414.7091979980469,-985.1934814453124,427.2917785644531,-959.4500732421876,378.07763671875,-1026.8931884765623,346.3753662109375,-1074.634033203125,337.2235412597656,-1102.0538330078123,445.9499206542969,-924.2838745117188,396.2138671875,-987.9249267578124,326.3060607910156,-1104.8310546875,381.27325439453125,-1011.3742065429688,291.5071716308594,-1156.956298828125,314.81103515625,-1138.8138427734375,380.6434020996094,-1008.4755249023438,471.6198425292969,-1093.729736328125,432.55560302734375,-1058.6575927734377,417.0264587402344,-1048.661865234375,346.6786804199219,-1036.1646728515623,336.1131286621094,-1029.43896484375,351.6943054199219,-1029.478271484375,316.87091064453125,-1016.7057495117188,341.8497009277344,-1082.368408203125,299.21636962890625,-995.00537109375,332.91796875,-1017.0960693359376,254.7845001220703,-1213.1656494140625,321.4399719238281,-1009.7064208984376,315.06060791015625,-1139.0101318359375,348.6028747558594,-1060.685546875,305.8444519042969,-1152.598876953125,288.1633605957031,-1179.2174072265625,289.4846496582031,-1177.7877197265625,321.2593078613281,-1095.072998046875,331.17877197265625,-1129.440673828125,320.2366638183594,-1097.3021240234377,232.63265991210938,-1263.21240234375,294.5832824707031,-1115.0572509765623,310.295654296875,-1145.206787109375,294.17645263671875,-1115.1258544921877,238.68487548828125,-1237.2552490234375,320.302734375,-1097.633056640625,238.8794708251953,-1237.4439697265625,271.5180053710937,-1099.9324951171877,265.7657470703125,-1096.4903564453123,277.421142578125,-1194.9847412109375
1,402.7125549316406,-989.7115478515624,415.5816650390625,-984.0523071289062,426.9989318847656,-960.1551513671876,378.1661376953125,-1026.8536376953123,346.236083984375,-1074.6334228515623,337.9105529785156,-1100.8717041015623,445.9755554199219,-924.169921875,396.2420349121094,-987.9006958007812,327.4139404296875,-1103.2452392578123,381.2087097167969,-1011.2838745117188,292.0390625,-1157.413330078125,314.7832336425781,-1138.818115234375,380.6490783691406,-1008.47509765625,471.61138916015625,-1093.760498046875,432.55670166015625,-1058.6627197265623,417.0229187011719,-1048.6690673828123,348.656494140625,-1036.83935546875,336.0545349121094,-1029.3125,353.1086730957031,-1030.2593994140623,316.8403625488281,-1016.7007446289062,341.8521423339844,-1082.3726806640623,299.1945495605469,-995.0985717773438,332.894287109375,-1017.132568359375,254.89059448242188,-1213.206787109375,321.3654479980469,-1009.7854614257812,315.3007507324219,-1139.0987548828125,348.5301208496094,-1060.4796142578123,305.93133544921875,-1152.424560546875,289.2961730957031,-1177.655517578125,289.3424987792969,-1177.651123046875,321.26629638671875,-1095.0792236328123,330.96002197265625,-1129.0513916015625,320.22991943359375,-1097.2930908203123,232.87451171875,-1263.3780517578125,294.585205078125,-1115.0496826171877,310.2897033691406,-1145.203125,294.485595703125,-1114.962890625,238.7204742431641,-1237.3907470703125,320.3074035644531,-1097.6380615234377,238.8769073486328,-1237.4776611328125,271.5042724609375,-1099.910400390625,265.66665649414057,-1096.378173828125,277.41827392578125,-1194.984619140625
2,402.68682861328125,-989.6903076171876,416.7342834472656,-982.2139892578124,426.47021484375,-960.8960571289062,378.0763549804688,-1026.84130859375,346.2886047363281,-1074.6572265625,338.53594970703125,-1099.8868408203123,446.0165710449219,-924.17578125,396.6468811035156,-988.4232788085938,327.43719482421875,-1103.255615234375,381.04229736328125,-1011.1873779296876,291.7464904785156,-1157.199951171875,314.75262451171875,-1138.7974853515625,380.6549072265625,-1008.4712524414062,471.611328125,-1093.7611083984377,432.5515441894531,-1058.67236328125,417.0272521972656,-1048.6600341796877,348.2746276855469,-1036.423583984375,335.9730529785156,-1029.3155517578123,352.895751953125,-1030.5555419921877,316.8515625,-1016.7493896484376,341.8125,-1082.186279296875,299.368408203125,-995.16162109375,332.7770080566406,-1017.0823974609376,254.61325073242188,-1213.0819091796875,321.353271484375,-1009.7385864257812,315.4658203125,-1139.1419677734375,348.5259704589844,-1060.4771728515623,305.9276123046875,-1152.4788818359375,289.7257080078125,-1177.9375,289.59100341796875,-1177.9017333984375,321.26751708984375,-1095.081787109375,330.8065185546875,-1128.83544921875,320.2484130859375,-1097.3070068359377,232.64341735839844,-1263.3084716796875,294.6453552246094,-1115.084228515625,310.256103515625,-1145.392333984375,293.85931396484375,-1114.5677490234377,238.71778869628903,-1237.3724365234375,320.31396484375,-1097.6356201171877,238.91661071777344,-1237.4444580078125,271.53726196289057,-1099.8741455078123,265.63775634765625,-1095.91455078125,277.43572998046875,-1195.0089111328125
3,402.70697021484375,-989.6671752929688,417.7325134277344,-980.8739624023438,426.1361999511719,-961.5238037109376,377.9755859375,-1026.8070068359377,346.3375549316406,-1074.593017578125,338.9734802246094,-1099.113037109375,446.1266784667969,-924.0736083984376,396.5563049316406,-988.4341430664062,327.58734130859375,-1103.3402099609377,381.0571899414063,-1011.2850341796876,291.9013671875,-1157.303955078125,314.9527587890625,-1138.9110107421875,380.6568603515625,-1008.4674072265624,471.66339111328125,-1093.73486328125,432.55889892578125,-1058.6585693359377,417.0185241699219,-1048.64990234375,347.8533020019531,-1036.3475341796877,336.0182189941406,-1029.403076171875,352.2938232421875,-1030.4044189453123,316.8642883300781,-1016.6844482421876,341.74664306640625,-1082.176025390625,299.4572448730469,-995.26318359375,332.77996826171875,-1017.0119018554688,254.5393829345703,-1213.0274658203125,321.678466796875,-1009.9342041015624,315.1126708984375,-1139.2734375,348.5211486816406,-1060.4842529296877,306.0825500488281,-1152.418701171875,289.1595153808594,-1177.7318115234375,289.41326904296875,-1177.8863525390625,321.2708435058594,-1095.087646484375,330.65179443359375,-1128.6302490234375,320.2550048828125,-1097.321044921875,232.6761932373047,-1263.3890380859375,294.5464782714844,-1115.068115234375,310.236328125,-1145.3900146484375,293.95184326171875,-1114.5684814453123,238.8072204589844,-1237.40380859375,320.31475830078125,-1097.6298828125,239.15118408203125,-1237.6229248046875,271.49569702148443,-1099.89208984375,265.66793823242193,-1095.737060546875,277.41619873046875,-1195.0235595703125
4,402.7112121582031,-989.6446533203124,418.4451904296875,-979.7544555664062,425.67950439453125,-962.1778564453124,377.927734375,-1026.9014892578123,346.3667297363281,-1074.601318359375,339.6333312988281,-1098.1390380859377,446.0533142089844,-923.9606323242188,396.5670166015625,-988.4463500976562,327.62542724609375,-1103.27294921875,381.1095581054688,-1011.30322265625,291.78778076171875,-1157.1937255859375,315.0008544921875,-1138.9305419921875,380.6653137207031,-1008.4703369140624,471.66455078125,-1093.7398681640623,432.5504455566406,-1058.648193359375,417.0276794433594,-1048.645263671875,347.6004638671875,-1036.2637939453123,335.8901062011719,-1029.2369384765623,352.04705810546875,-1030.1104736328123,316.78643798828125,-1016.638427734375,341.6365661621094,-1082.2135009765623,299.6031494140625,-995.2897338867188,332.7144470214844,-1016.9945068359376,254.5087890625,-1212.9842529296875,321.96246337890625,-1010.1019287109376,315.15081787109375,-1139.22314453125,348.5237731933594,-1060.48486328125,306.1412048339844,-1152.3121337890625,289.054931640625,-1177.6470947265625,289.21282958984375,-1177.7886962890625,321.2872619628906,-1095.085693359375,330.0572509765625,-1128.012451171875,320.2459716796875,-1097.3175048828123,232.62782287597656,-1263.30078125,294.69830322265625,-1115.1082763671877,310.14471435546875,-1145.50244140625,294.55718994140625,-1115.0068359375,238.6931915283203,-1237.312744140625,320.31573486328125,-1097.624755859375,239.0425567626953,-1237.5458984375,271.48800659179693,-1099.87890625,265.77139282226557,-1095.7288818359377,277.44976806640625,-1194.975341796875
5,402.72296142578125,-989.6483154296876,419.26214599609375,-978.491943359375,425.17364501953125,-962.85205078125,378.2298278808594,-1026.6229248046877,346.32684326171875,-1074.6483154296877,340.2547607421875,-1097.2008056640623,446.0416259765625,-923.9898681640624,396.330810546875,-988.443359375,327.6684265136719,-1103.337158203125,380.9215393066406,-1011.1972045898438,291.7032775878906,-1157.0977783203125,315.0032958984375,-1138.899658203125,380.6645812988281,-1008.4734497070312,471.65380859375,-1093.755859375,432.5597229003906,-1058.643310546875,417.0235900878906,-1048.6368408203123,347.4376525878906,-1036.2320556640623,336.12176513671875,-1029.3172607421877,351.8462219238281,-1029.950927734375,316.9932861328125,-1016.7813720703124,341.88232421875,-1081.994140625,299.6394958496094,-995.2863159179688,332.6824035644531,-1017.0042114257812,254.6629180908203,-1213.10888671875,321.97503662109375,-1010.1007080078124,315.11761474609375,-1139.1319580078125,348.5211181640625,-1060.489501953125,306.09112548828125,-1152.212646484375,288.93402099609375,-1177.6051025390625,289.2743225097656,-1177.801513671875,321.2955322265625,-1095.0860595703123,329.7107849121094,-1127.862548828125,320.24560546875,-1097.3314208984377,232.50592041015625,-1263.2218017578125,294.7129211425781,-1115.09912109375,310.14556884765625,-1145.4959716796875,294.69476318359375,-1115.119384765625,238.6311798095703,-1237.2943115234375,320.3160095214844,-1097.6175537109377,238.9850006103516,-1237.5322265625,271.46340942382807,-1099.86181640625,265.876953125,-1095.776611328125,277.45428466796875,-1194.974609375
6,402.72857666015625,-989.6621704101562,420.16632080078125,-977.263916015625,424.6951599121094,-963.577392578125,378.1647033691406,-1026.7919921875,346.32708740234375,-1074.6328125,340.8152770996094,-1096.2098388671877,446.1188354492188,-924.0557861328124,396.3218688964844,-988.61962890625,327.7208251953125,-1103.3858642578123,380.8668518066406,-1011.1668701171876,291.66326904296875,-1157.05029296875,314.9305419921875,-1138.8406982421875,380.6578063964844,-1008.4737548828124,471.6717834472656,-1093.730224609375,432.556884765625,-1058.6329345703123,417.0162963867188,-1048.6343994140623,347.3139953613281,-1036.2034912109377,336.00146484375,-1029.2164306640623,351.7904357910156,-1029.9014892578123,316.9868469238281,-1016.7415771484376,341.93084716796875,-1082.08203125,299.3967590332031,-995.1380615234376,332.6985778808594,-1017.0038452148438,254.61654663085938,-1213.06396484375,321.9115905761719,-1009.9216918945312,315.0827941894531,-1139.0836181640625,348.5145263671875,-1060.487060546875,306.0899963378906,-1152.216552734375,289.26318359375,-1177.71728515625,289.2927551269531,-1177.7928466796875,321.2864990234375,-1095.0653076171877,329.64208984375,-1127.6944580078125,320.24542236328125,-1097.339599609375,232.52328491210938,-1263.2607421875,294.03375244140625,-1114.515625,310.3031921386719,-1145.2801513671875,294.7485656738281,-1115.1126708984377,238.5838165283203,-1237.27880859375,320.3155212402344,-1097.6217041015623,239.03939819335938,-1237.6043701171875,271.47262573242193,-1099.8399658203123,265.81378173828125,-1095.7518310546877,277.43154907226557,-1195.001708984375
7,402.74102783203125,-989.677978515625,421.0671081542969,-976.0015258789062,424.2293701171875,-964.21337890625,378.168212890625,-1026.8353271484377,346.0850524902344,-1074.913330078125,341.3520202636719,-1095.4200439453123,446.09130859375,-924.039306640625,396.6974792480469,-988.95458984375,327.68963623046875,-1103.327392578125,380.9644165039063,-1011.2313842773438,291.68560791015625,-1157.0643310546875,314.857177734375,-1138.8553466796875,380.658447265625,-1008.4862060546876,471.6642150878906,-1093.71875,432.5485534667969,-1058.632080078125,417.0248107910156,-1048.6292724609377,347.2789611816406,-1036.1927490234377,335.9742736816406,-1029.264404296875,351.7197570800781,-1029.69873046875,317.17572021484375,-1016.81201171875,342.0365905761719,-1081.9666748046877,299.3989562988281,-995.1600341796876,333.02581787109375,-1017.17724609375,254.6505889892578,-1213.0946044921875,321.92254638671875,-1009.9164428710938,314.9956970214844,-1139.255615234375,348.5368957519531,-1060.4996337890623,306.03033447265625,-1152.111328125,289.3279113769531,-1177.74755859375,289.3265075683594,-1177.807373046875,321.2889099121094,-1095.058349609375,329.43194580078125,-1127.439697265625,320.24749755859375,-1097.34326171875,232.62176513671875,-1263.3135986328125,293.6171875,-1114.1839599609377,310.2062683105469,-1145.3984375,294.7311706542969,-1115.18212890625,238.62635803222656,-1237.2921142578125,320.3168029785156,-1097.615966796875,238.96067810058602,-1237.53271484375,271.49484252929693,-1099.8502197265623,265.72988891601557,-1095.7930908203123,277.430419921875,-1195.009765625
8,402.73126220703125,-989.6765747070312,421.937255859375,-974.7252197265624,423.7296447753906,-964.9296875,378.1064758300781,-1026.858642578125,345.9468078613281,-1075.1678466796877,341.88873291015625,-1094.55517578125,446.12109375,-924.0962524414062,397.01885986328125,-989.086669921875,327.6435852050781,-1103.326904296875,380.82275390625,-1011.1155395507812,291.6686706542969,-1157.0462646484375,314.8858947753906,-1138.8829345703125,380.6390686035156,-1008.486083984375,471.67388916015625,-1093.7135009765623,432.5572204589844,-1058.626708984375,417.02935791015625,-1048.621826171875,347.2958984375,-1036.189453125,336.318359375,-1029.6209716796877,351.6054382324219,-1029.6478271484377,317.1258239746094,-1016.7152709960938,342.0401306152344,-1082.01416015625,299.3815612792969,-995.196044921875,333.1890563964844,-1017.3704223632812,254.67526245117188,-1213.1103515625,321.9435119628906,-1009.912109375,314.8722839355469,-1139.308837890625,348.5460510253906,-1060.497802734375,305.97747802734375,-1152.26611328125,289.3234558105469,-1177.7430419921875,289.2824401855469,-1177.7694091796875,321.2789611816406,-1095.053955078125,329.252197265625,-1127.122802734375,320.2505187988281,-1097.3433837890623,232.59909057617188,-1263.259521484375,293.4395751953125,-1114.0775146484377,310.1672058105469,-1145.5404052734375,294.6771240234375,-1115.2359619140623,238.68280029296875,-1237.324462890625,320.3177490234375,-1097.6031494140623,238.9086456298828,-1237.49560546875,271.4935913085937,-1099.8302001953123,265.60513305664057,-1095.772705078125,277.45205688476557,-1194.9737548828125
9,402.7406921386719,-989.6825561523438,422.8106384277344,-973.4609985351562,423.2093811035156,-965.6920166015624,378.0110168457031,-1027.01708984375,346.0664978027344,-1074.9599609375,342.5751953125,-1093.4967041015623,446.1623229980469,-924.1231689453124,397.1322937011719,-989.2003173828124,327.7013244628906,-1103.3255615234377,380.5344543457031,-1011.0081787109376,291.6235656738281,-1156.9986572265625,314.869140625,-1138.9251708984375,380.63385009765625,-1008.4837646484376,471.6754455566406,-1093.6982421875,432.56195068359375,-1058.6190185546877,417.0285034179688,-1048.6148681640623,347.2864990234375,-1036.2237548828123,336.24981689453125,-1029.5989990234377,351.5348815917969,-1029.62060546875,317.0861511230469,-1016.6178588867188,342.0526123046875,-1082.072021484375,299.51190185546875,-995.1676025390624,333.0447998046875,-1017.2978515625,254.54376220703125,-1212.9951171875,321.9326171875,-1009.9459838867188,314.933837890625,-1139.2008056640625,348.5524597167969,-1060.490478515625,305.8629150390625,-1152.635986328125,289.27783203125,-1177.73193359375,289.3299560546875,-1177.786376953125,321.273681640625,-1095.0584716796877,329.0436096191406,-1126.8770751953125,320.25439453125,-1097.350341796875,232.5802459716797,-1263.26904296875,293.2615966796875,-1113.979248046875,310.16973876953125,-1145.5955810546875,294.64453125,-1115.2735595703123,238.6649932861328,-1237.3353271484375,320.316162109375,-1097.6044921875,238.95135498046875,-1237.5328369140625,271.57571411132807,-1099.946533203125,265.53115844726557,-1095.7796630859377,277.454833984375,-1194.9683837890625
