,ti1_centroid_x,ti1_centroid_y,ti47_centroid_x,ti47_centroid_y,ti694_centroid_x,ti694_centroid_y,ti827_centroid_x,ti827_centroid_y,ti837_centroid_x,ti837_centroid_y,ti858_centroid_x,ti858_centroid_y,ti988_centroid_x,ti988_centroid_y,ti1014_centroid_x,ti1014_centroid_y,ti1041_centroid_x,ti1041_centroid_y,ti1060_centroid_x,ti1060_centroid_y,ti1086_centroid_x,ti1086_centroid_y,ti1092_centroid_x,ti1092_centroid_y,ti1104_centroid_x,ti1104_centroid_y
0,696.8787231445312,-2147.60302734375,689.9366455078125,-2152.440673828125,612.9451904296875,-2275.833251953125,596.3187255859375,-2366.36669921875,600.2470092773438,-2368.418701171875,607.77001953125,-2371.020751953125,579.7323608398438,-2373.375732421875,591.5518798828125,-2390.9853515625,585.6370239257812,-2390.078369140625,598.160400390625,-2382.007080078125,537.4105224609375,-2415.28564453125,594.5516357421875,-2377.65185546875,540.91943359375,-2422.279541015625
1,695.661376953125,-2149.338623046875,689.9578247070312,-2152.40380859375,611.729248046875,-2277.771728515625,596.3168334960938,-2366.37158203125,600.522216796875,-2368.125,607.7741088867188,-2371.025146484375,579.5648193359375,-2372.792236328125,592.682373046875,-2389.632080078125,585.6350708007812,-2390.079345703125,598.0965576171875,-2381.980224609375,537.4129638671875,-2415.286865234375,593.3482055664062,-2378.630615234375,540.9210205078125,-2422.276611328125
2,695.2179565429688,-2150.284912109375,689.9725952148438,-2152.39013671875,611.1810913085938,-2278.77001953125,596.3143920898438,-2366.37353515625,600.5143432617188,-2368.30859375,607.7699584960938,-2371.0244140625,579.3829956054688,-2373.11328125,592.6846313476562,-2389.626220703125,585.6253662109375,-2390.077880859375,598.1481323242188,-2381.884521484375,537.414794921875,-2415.287109375,593.1085815429688,-2378.328125,540.9174194335939,-2422.27685546875
3,694.646728515625,-2151.194091796875,689.9298095703125,-2152.429931640625,610.8841552734375,-2279.3408203125,596.3146362304688,-2366.373291015625,600.7952880859375,-2367.62255859375,607.7633666992188,-2371.029296875,579.73046875,-2372.869140625,592.6964721679688,-2389.6259765625,585.6270751953125,-2390.080810546875,598.3532104492188,-2381.64990234375,537.4109497070311,-2415.275146484375,593.1583862304688,-2378.408447265625,540.9166259765625,-2422.278564453125
4,694.0311279296875,-2152.151123046875,689.8661499023438,-2152.409423828125,610.0756225585938,-2280.5322265625,596.6096801757812,-2365.484130859375,600.9237060546875,-2367.7548828125,607.7617797851562,-2371.032958984375,579.5955200195312,-2372.7900390625,592.6984252929688,-2389.625732421875,585.624267578125,-2390.072021484375,598.5230712890625,-2381.482421875,537.4373168945311,-2415.277587890625,593.2884521484375,-2378.541015625,540.5921020507811,-2422.214599609375
5,693.3790283203125,-2153.090576171875,689.6841430664062,-2152.481201171875,609.5548706054688,-2281.452880859375,596.630615234375,-2365.48046875,601.0322265625,-2367.53662109375,607.762939453125,-2371.038330078125,579.6372680664062,-2373.009521484375,592.3848876953125,-2389.908203125,585.6272583007812,-2390.067138671875,598.6337280273438,-2381.491455078125,537.3768920898439,-2415.24072265625,593.4044799804688,-2378.656005859375,540.657958984375,-2422.2197265625
6,692.74169921875,-2154.039306640625,689.773193359375,-2152.4990234375,608.8739013671875,-2282.84326171875,596.6305541992188,-2365.47900390625,601.0739135742188,-2367.468017578125,607.7579345703125,-2371.038818359375,579.6152954101562,-2373.232421875,592.5971069335938,-2389.787109375,585.6261596679688,-2390.0634765625,598.7144775390625,-2381.48193359375,537.6423950195311,-2415.430908203125,593.3760375976562,-2378.673095703125,540.5905151367189,-2422.072998046875
7,692.1571044921875,-2154.92138671875,689.6383056640625,-2152.6162109375,608.2622680664062,-2283.82177734375,596.6370849609375,-2365.4833984375,601.0866088867188,-2367.4208984375,607.7532348632812,-2371.04052734375,579.6016845703125,-2373.310302734375,592.77197265625,-2389.822021484375,585.6240844726562,-2390.057373046875,598.7630004882812,-2381.43505859375,537.549560546875,-2415.55908203125,593.4338989257812,-2378.685546875,540.6172485351561,-2422.06005859375
8,691.502685546875,-2155.919921875,689.6419067382812,-2152.526123046875,607.7640380859375,-2284.4794921875,596.64111328125,-2365.48779296875,601.1198120117188,-2367.2900390625,607.7537841796875,-2371.044189453125,579.6133422851562,-2373.348876953125,592.6849365234375,-2389.897216796875,585.6202392578125,-2390.054443359375,598.8043212890625,-2381.456787109375,537.4711303710939,-2415.374267578125,593.4826049804688,-2378.67578125,540.4567260742189,-2421.987548828125
9,690.919921875,-2156.79345703125,689.51416015625,-2152.588623046875,607.244384765625,-2285.3154296875,596.6961669921875,-2365.697509765625,601.0767211914062,-2367.24609375,607.7537231445312,-2371.0419921875,579.6033935546875,-2373.397705078125,592.7354736328125,-2389.938232421875,585.6180419921875,-2390.054443359375,598.7833251953125,-2381.670166015625,537.544189453125,-2415.86376953125,593.2406616210938,-2378.685302734375,540.7554931640625,-2421.79931640625
