cw_coord_x,cw_coord_y,cw_coord_z,cw_id
741.2194123683538,-2311.208032878618,285.0845205159858,0.0
735.9890532584358,-2308.1882045068196,284.2862222036347,0.0
733.9893377118706,-2311.5783337652756,284.1552209164947,0.0
739.2296133912553,-2314.607895911624,284.22351449076086,0.0
-66.43230137319686,-36.96222802463308,271.427093510516,1.0
-72.68224502820517,-30.222175344075367,271.5170610435307,1.0
-75.61226861641457,-32.94215063266893,271.55701353400946,1.0
-69.3623251838335,-39.682203422595194,271.4870460005477,1.0
1039.3115224668004,-577.327772862769,265.00676471646875,2.0
1037.6518224795782,-579.747978833424,264.9968144306913,2.0
1040.912081178115,-581.9675624335614,264.8860811209306,2.0
1042.5717795363835,-579.5473555519675,264.8860314078629,2.0
705.9380299056342,13.241732716811384,264.1285130996257,3.0
710.9783079274279,9.972161313886318,264.12795990891755,3.0
713.1580289869496,13.252346679393668,264.12771090026945,3.0
708.1177467132075,16.57191808243806,264.1282639866695,3.0
1201.820564180371,-712.1453659169165,265.90458046644926,4.0
1205.1098354380138,-707.0848921672259,265.90452528279275,4.0
1201.7895414221355,-704.9253803885331,265.99539074115455,4.0
1198.5302701637186,-709.9858498178182,265.99544028006494,4.0
768.693903400645,-462.46816700979616,265.4844647683203,5.0
768.4540319598211,-463.85818971836125,265.49439246580005,5.0
768.7241851184477,-465.6081606036314,265.4342329343781,5.0
767.4442372128001,-466.0982822522783,265.4943505655974,5.0
759.6937936725194,-461.00900626646035,265.6856484245509,5.0
761.1835824898029,-458.6388733822678,265.735642304644,5.0
762.13360757249,-458.93878487354596,265.71550675854087,5.0
762.8335874799624,-458.75871855077276,265.6854360345751,5.0
-779.3766835496859,1208.459052046448,271.59516028966755,6.0
-780.366745752422,1207.7191336998258,271.5351796746254,6.0
-781.1069330762319,1205.7792109313232,271.575458381325,6.0
-789.7560013196671,1215.9100562511885,271.74246600922197,6.0
-786.8659376432884,1216.469767409766,271.6527142915875,6.0
-942.6347006100995,1423.8789740921566,274.3985625328496,7.0
-940.4650915977186,1420.4287283710655,274.3996528768912,7.0
-946.2759497646367,1412.829382345728,274.38048727530986,7.0
-948.2058726749907,1413.5096009668232,274.38005000539124,7.0
-949.6658828488879,1413.4197663671475,274.37985396850854,7.0
-950.7659096796979,1413.169888760487,274.3697468880564,7.0
-946.4852269712555,1419.129392558396,274.3190516550094,7.0
-791.4732975322521,1222.1951166339422,271.8910460965708,8.0
-793.0234109053808,1221.005264320167,271.8910823902115,8.0
-797.9527858964824,1227.6557472961467,271.9591878410429,8.0
-796.5226657733106,1228.955616817966,271.98911542259157,8.0
1241.0452427292773,-564.8958451087965,265.8618637211621,9.0
1236.0047541375884,-561.6265907845445,265.8431308269501,9.0
1233.8252541125457,-564.906920232359,265.91326174046844,9.0
1238.8657598068075,-568.2261789982404,265.98199019022286,9.0
-607.023500329823,1016.6156796732103,271.66743214055896,10.0
-608.713609336259,1015.035792224804,271.597523663193,10.0
-614.7231231218864,1021.5962225651347,271.5358974346891,10.0
-613.0130186740397,1023.1661149597057,271.64580942783505,10.0
789.4370328161551,-1825.8043553719472,285.0566377574578,11.0
785.477459043772,-1830.3147295110502,285.05582937877625,11.0
788.4777106605331,-1832.9644486678335,285.0646964609623,11.0
792.4372831972062,-1828.4540716513802,285.05550483893603,11.0
912.7176052428528,-986.8680055743389,265.7557431990281,12.0
911.0678737525603,-989.3081877106015,265.7655996065587,12.0
914.328128455424,-991.5178447958388,265.8547895196825,12.0
915.9878481654838,-989.0876475649748,265.7549301274121,12.0
668.0115977660166,-436.2314008964495,265.8876477526501,13.0
665.2115794473763,-436.08162172702214,265.8279516818002,13.0
664.9814253808033,-434.07164493095115,265.89811136201024,13.0
672.6503653907625,-420.61104249952405,266.0982142081484,13.0
675.6505649516777,-423.03080491790024,266.14773621223867,13.0
720.2257575535406,-716.789735001279,266.6665331432596,14.0
716.8761842089236,-721.7600218079424,266.64634783566,14.0
720.1763783366303,-724.0097369734976,266.6457208050415,14.0
723.5359516820456,-719.0394493039639,266.66590498480946,14.0
-794.01522969037,1279.179102863909,272.5395220145583,15.0
-791.6654056750898,1277.2988759000036,272.5201916852966,15.0
-789.2351227079292,1280.3586573195462,272.5798771623522,15.0
-791.5749476723257,1282.2288833350249,272.59921074379236,15.0
536.6899247256296,-1283.277063544756,267.4755083229393,16.0
538.229751792214,-1280.856925397009,267.28586669731885,16.0
545.270050362925,-1285.5164608549712,267.24432920012623,16.0
543.6002138767896,-1287.8565973328368,267.38399799726903,16.0
671.4231618721266,-1291.0312274354255,267.41119378618896,17.0
668.143570701438,-1296.061499357951,267.45051450189203,17.0
671.4237194941309,-1298.2511824690373,267.1897238297388,17.0
674.7633106639043,-1293.2209057190012,267.1503968061879,17.0
698.4611767651245,-849.5695021668325,266.94259743299335,18.0
703.491458767987,-852.9090802775827,266.95159826241434,18.0
705.6811777977118,-849.5688960732514,266.95180378947407,18.0
700.6509008415119,-846.2893179616731,266.9427949441597,18.0
249.05880583184071,-864.2011281872328,270.35396562702954,19.0
254.04890318411555,-867.5609621279546,270.2433116044849,19.0
256.27880149811887,-864.2408905700031,270.2136745909229,19.0
251.28870475156998,-860.901056629089,270.32432589586824,19.0
-377.4003918294169,915.2845956580131,270.8905220227316,20.0
-374.6103492983895,916.1744639430035,270.8505581403151,20.0
-375.8001770500493,919.924510396555,270.79994686320424,20.0
-378.5902172229901,919.0346363402423,270.79991074465215,20.0
-762.6835945767555,742.4080926988245,274.85866324510425,21.0
-760.9933833177291,744.807946224937,274.9285842552781,21.0
-764.2231692758875,747.0682347338225,274.8679334418848,21.0
-765.9133853169969,744.668385891684,274.8380124308169,21.0
83.0498144907384,36.26402581839284,270.16690306179225,22.0
84.48972587873645,45.39404038253997,270.2368255853653,22.0
80.59972044050977,46.01400256936904,270.28687140345573,22.0
79.15980802677505,36.88398748782129,270.1369488807395,22.0
261.8153484924661,-80.12789642366988,268.87167380191386,23.0
257.48522046366304,-75.97803056350313,268.8819007612765,23.0
254.71531961316097,-78.86811928925454,269.12197665311396,23.0
259.04543793752174,-83.01798215004601,268.8717496935278,23.0
-317.40437058665526,964.8113314647271,270.736464317888,24.0
-314.5443959341283,964.1412233135416,270.7367074517533,24.0
-313.6642510640868,967.9711899854265,270.73616890423,24.0
-316.5242257166138,968.64129813615,270.7359257703647,24.0
158.36628111369862,286.58935497337006,270.2091237939894,25.0
154.50619572151194,291.18928331411007,270.20900938939303,25.0
151.4462443435767,288.60922787380696,270.239200277254,25.0
155.30632900845782,284.009298176039,270.2093146825209,25.0
-971.6479087045354,1490.628472191689,274.7789150448516,26.0
-969.267874131266,1490.9381971552357,274.7892049420625,26.0
-971.3883511731021,1486.7284233167702,274.69986665342003,26.0
-972.9287698421106,1483.0585888832466,274.64049039781094,26.0
-974.8386238971857,1484.3888254594458,274.6998885469511,26.0
452.73143760752316,-152.110112013459,267.48969378322363,27.0
453.3914624773414,-152.63007588754408,267.4496345622465,27.0
454.111487140928,-153.1200370850056,267.4295719433576,27.0
454.83150276496286,-153.43999828346568,267.4095136942342,27.0
456.2415205133495,-153.79992278926147,267.3894064761698,27.0
434.3726556719856,-175.12108623256063,267.41037799604237,27.0
432.8625381603607,-172.91116653522113,267.41053971182555,27.0
432.0324921841639,-171.98121195890053,267.4606212824583,27.0
1098.7170987591726,-757.9666347984057,266.5778551250696,28.0
1103.467584693402,-761.6460072731825,266.57659644726664,28.0
1105.9170930504256,-758.4856324153952,266.14655044768006,28.0
1101.1665846775213,-754.8062444405514,266.01780912838876,28.0
316.3025802972033,-1118.210747783025,270.0113984737545,29.0
318.40245970834064,-1115.070670017154,270.0318453088403,29.0
